blocker_type,buyer_question,redacted_evidence_to_collect,accountable_owner,safe_follow_up_when,unsafe_claim_boundary
Security questionnaire,"Can you answer the vendor security questionnaire by the buyer deadline?","Questionnaire topic list, due date, approved answer source category, freshness date; no customer names or confidential questionnaire files",Security owner,"Owner confirms source category and buyer-safe response status","Do not claim security compliance, certification, faster approval, win rate, revenue, pipeline, ROI or customer outcome impact"
Vendor-risk review,"Which requested trust artifacts are approved to share?","Redacted artifact register: SOC 2/ISO/HITRUST status category, pen test status category, subprocessor link category, incident-response policy category",Security or trust owner,"Artifact owner marks shareable, gap, needs legal/security review or unavailable","Do not expose raw security reports, confidential findings, prospect names, deal IDs, access logs, passwords, tokens or secrets"
DPA MSA blocker,"What legal or privacy clause is delaying the next step?","Clause topic category, responsible owner, review status, safe public summary, required escalation; no contract file by default",Legal or privacy owner,"Qualified owner approves next action or confirms pending review","Do not give legal, privacy, compliance or procurement advice and do not promise contract acceptance"
AI-use questionnaire,"How does the product or team use AI?","Product AI feature boundary, internal AI tool boundary, training-use statement category, human-review notes, retention/source category",Product and AI owner,"Product/security/legal owners confirm answer source and unsafe claim stop list","Do not claim AI accuracy, safety, non-use of data, model behavior, compliance or customer outcomes without verified approved evidence"
Data residency and subprocessors,"Where is data processed and who are subprocessors?","Published subprocessor link category, region/residency statement category, data-flow owner, cross-border review owner",Privacy or platform owner,"Owner confirms current approved source and buyer-safe wording","Do not claim GDPR, EU AI Act, HIPAA, SOC 2, ISO or residency compliance unless formally verified and approved"
Deal-desk handoff,"Who owns the next buyer-facing action?","AE/SE/security/legal/founder/deal-desk owner, blocker age, next action, deadline and escalation path",Revenue operations owner,"Next owner and response deadline are confirmed","Do not claim sales-cycle improvement, deal acceleration, close probability, conversion lift, customer proof or pipeline value"
Trust-center gap,"What evidence is missing or stale?","Gap category, owner, target update date, approved substitute answer category and risk note",Trust owner,"Gap owner confirms safe interim answer or hold status","Do not publish gaps as proof, certification, compliance, benchmark or customer assurance"
Pricing or finance exception,"Is pricing or spend approval blocking procurement?","Exception type, approval owner, date needed, response owner and non-confidential summary",Finance or deal desk,"Finance/deal owner confirms approved response path","Do not expose discounts, contract values, revenue exports, invoices, forecasts or commercial terms by default"
Customer reference or proof request,"Is the buyer asking for logos, testimonials or case studies?","Approved public proof link category, reference policy, claim approval owner and no-proof fallback wording",Founder or marketing owner,"Approved public proof exists or owner approves a no-proof response","Do not invent customers, testimonials, rankings, revenue, analytics, logos, savings, outcomes or reference availability"
Diagnostic boundary,"What should not be collected for the first review?","No credentials, secrets, regulated data, customer identifiers, CRM exports, raw contracts, raw security reports, production logs or confidential files by default",AICS scoping owner,"Buyer agrees to redacted fields and qualified-owner review boundaries","Do not request or store passwords tokens secrets PHI PII contracts revenue exports CRM exports or raw security reports by default"
