evidence_area,buyer_question,owner_safe_field,no_patient_data_boundary,review_owner,decision_use
missed_call_capture,Which calls are not becoming appointment tasks?,date band; location; source; call outcome; callback due band,Use counts and statuses only; no names; no phone numbers; no recordings,clinic owner or operations lead,Decide if leakage is phone coverage workflow or software gap
callback_sla,How old are unresolved callbacks?,age band; assigned staff role; next safe action; escalation reason,Use role and status only; no personal health details,front desk lead,Prioritize same-day callbacks and owner review
appointment_status,Where do requests stall before booking?,requested; booked; confirmed; rescheduled; cancelled; no-show; waiting-list,No patient identity; no diagnosis; no clinical notes,practice manager,Find handoff gaps before buying more ads
source_to_owner,Which marketing sources create unresolved work?,Google Business Profile; website form; paid ads; referral; repeat patient; community source,Aggregate by source only; no ad-account credentials or patient record export,owner or marketing lead,Separate traffic problem from follow-up problem
voicemail_form_handoff,Are voicemail and web forms reaching accountable staff?,channel; received band; owner; status; blocked reason,No recordings; no message transcript; no health details,operations lead,Create visible owner queue for leakage
consent_adviser_questions,What needs privacy/legal adviser review before automation?,contact preference evidence; opt-in status; automation boundary question,Template only; not PHIPA/PIPEDA/legal advice; no personal data,privacy/legal adviser,Gate SMS/email/WhatsApp automation safely
human_escalation,Which enquiries must not be automated?,urgent symptom; medication; diagnosis; complaint; privacy request; insurance dispute,Category only; send to qualified human; no clinical advice,qualified clinic staff,Prevent AI or staff scripts from improvising
no_show_recovery,Are reminders and no-show callbacks owned?,reminder status; no-show reason category; wait-list action; callback due band,No patient name or medical information,reception lead,Recover workflow evidence without outcome claims
multi_location_dashboard,Can owners see unresolved work by clinic?,location; service line; source; ageing; owner; status,Aggregate only; no PHI or personal data,clinic owner,Compare locations and staffing bottlenecks
proof_before_platform,What should be fixed before software replacement?,workflow fix; dashboard field; staff handoff; template; platform candidate,No vendor ranking or replacement claim,owner plus adviser,Shortlist AI receptionist CRM PMS or answering service safely
