row_id,vertical,business_name,owner_name,city,metro,website,google_rating,google_reviews_count,whatsapp_number,instagram_handle,source_url,source_platform,status,notes
PUN-001,dental_clinic,Dr. Ratnika's - Smile Up Dental Clinic & Implant Center,Dr. Amol Thorat Dinkar,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/dr-amol-thorat-dinkar-dentist?practice_id=1123141&specialization=Dentist&referrer=doctor_listing&page_uid=8da4e7af-77fb-4859-b4af-84d6c6459c53,Practo,researched,Kharadi; 26 years experience overall; 86% Practo recommendation; 27 patient stories; ₹300 consultation fee
PUN-002,dental_clinic,Dental Tree,Dr. Ganesh,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/dr-ganesh-kamble?practice_id=1170946&specialization=Dentist&referrer=doctor_listing&page_uid=8da4e7af-77fb-4859-b4af-84d6c6459c53,Practo,researched,Aundh; 17 years experience overall; 98% Practo recommendation; 451 patient stories; ₹200 consultation fee
PUN-003,dental_clinic,"Dentsee Dental Clinic, Laser and Implant Centre",Dr. Ankush R. Agrawal,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/dr-ankush-r-agrawal-oral-surgeon?practice_id=1181295&specialization=Dentist&referrer=doctor_listing&page_uid=8da4e7af-77fb-4859-b4af-84d6c6459c53,Practo,researched,Wakad; 21 years experience overall; 96% Practo recommendation; 237 patient stories; ₹400 consultation fee
PUN-004,dental_clinic,Dentalist - The Smile Experts,Dr. Rohit Jethale,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/rohit-jethale-dentist?practice_id=1364582&specialization=Dentist&referrer=doctor_listing&page_uid=8da4e7af-77fb-4859-b4af-84d6c6459c53,Practo,researched,Kharadi; 17 years experience overall; 99% Practo recommendation; 563 patient stories; ₹300 consultation fee
PUN-005,dental_clinic,Smile Time Multispeciality Dental And Implant Centre,Dr. Neelam Jaiswal,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/neelam-jaiswal-dentist?practice_id=1268816&specialization=Dentist&referrer=doctor_listing&page_uid=8da4e7af-77fb-4859-b4af-84d6c6459c53,Practo,researched,Kharadi; 15 years experience overall; 97% Practo recommendation; 436 patient stories; ₹300 consultation fee
PUN-006,dental_clinic,Dr Sahu’s Dental & Orthodontic Care,Dr. Apoorva Sahu,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/apoorv-sahu-dentist?practice_id=1122954&specialization=Dentist&referrer=doctor_listing&page_uid=8da4e7af-77fb-4859-b4af-84d6c6459c53,Practo,researched,Hadapsar; 16 years experience overall; 100% Practo recommendation; 75 patient stories; ₹300 consultation fee
PUN-007,dental_clinic,Saroj Dental Care Centre,Dr. Abhinav Misuriya,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/dr-abhinav-misuriya-dentist?practice_id=663702&specialization=Dentist&referrer=doctor_listing&page_uid=8da4e7af-77fb-4859-b4af-84d6c6459c53,Practo,researched,Hadapsar; 21 years experience overall; 96% Practo recommendation; 249 patient stories; ₹400 consultation fee
PUN-008,dental_clinic,Laconic Dental Studio,Dr. Hemant Patil,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/dr-hemant-patil-dentist?practice_id=713660&specialization=Dentist&referrer=doctor_listing&page_uid=032a83ca-620c-4628-8dad-7160c4e28cda,Practo,researched,Pimple Saudagar; 19 years experience overall; 93% Practo recommendation; 1305 patient stories; ₹500 consultation fee
PUN-009,dental_clinic,Dr. Bharat Oswal's Multispeciality Dental Clinic,Dr. Bharat Oswal,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/dr-bharat-oswal-dentist?practice_id=649076&specialization=Dentist&referrer=doctor_listing&page_uid=032a83ca-620c-4628-8dad-7160c4e28cda,Practo,researched,Camp; 40 years experience overall; 100% Practo recommendation; 30 patient stories; ₹200 consultation fee
PUN-010,dental_clinic,Dr. Phadke's Dental Clinic & Implant Centre,Dr. Gautami Phadke,Pune,Pune,,,,,,https://www.practo.com/pune/doctor/dr-gautami-dentist?practice_id=649132&specialization=Dentist&referrer=doctor_listing&page_uid=032a83ca-620c-4628-8dad-7160c4e28cda,Practo,researched,Karve Nagar; 28 years experience overall; 97% Practo recommendation; 245 patient stories; ₹300 consultation fee
