synthetic_source,synthetic_patient_request,owner_state,sla_status,evidence_field_needed,ai_boundary_or_human_review,phi_minimisation_note,buyer_question,boundary_label
Google Business Profile call,New patient appointment request,No named owner,Overdue callback,call_time_and_disposition,human callback required,do not include diagnosis or chart data,Which missed calls have no callback owner?,Simulated row only - no real clinic patient PHI or outcome
After-hours voicemail,Medication refill question,Front desk queue,Needs clinical routing,callback_attempt_and_clinical_route,no AI medical advice; route to licensed staff,store only request category and routing status,Which after-hours items need licensed review?,Simulated row only - no real clinic patient PHI or outcome
Website form,Insurance eligibility question,Billing owner assigned,Within SLA,source_url_and_owner,staff review before promise,avoid policy numbers in demo sample,Which forms are waiting on insurance/billing?,Simulated row only - no real clinic patient PHI or outcome
Online scheduling link,Cancelled appointment reschedule,No owner,Unresolved over 24h,reschedule_status_and_attempts,AI can offer approved scheduling options only,no clinical complaint detail,Which cancellations have no recovery path?,Simulated row only - no real clinic patient PHI or outcome
Referral fax/email,Specialist referral request,Referral coordinator,Blocked by missing document,referral_source_and_document_gap,human review required,no full referral attachment in diagnostic sample,Which referrals are blocked by document gaps?,Simulated row only - no real clinic patient PHI or outcome
SMS reply,Patient portal access help,Support queue,Within SLA,portal_issue_type_and_owner,AI can share approved support steps only,no passwords or identifiers,Which support replies are unresolved?,Simulated row only - no real clinic patient PHI or outcome
Telehealth handoff,Video visit connection failure,MA owner assigned,Overdue,telehealth_vendor_and_callback_status,human escalation when care delayed,no visit notes in sample,Which telehealth failures need owner review?,Simulated row only - no real clinic patient PHI or outcome
Review site message,Complaint or service recovery,Practice manager,Needs review,review_channel_and_resolution_state,human review required,no patient name or condition,Which reputation risks lack a safe response owner?,Simulated row only - no real clinic patient PHI or outcome
Paid search landing page,High-intent procedure enquiry,No owner,Overdue,campaign_source_and_callback_state,no clinical/pricing guarantees by AI,no condition-specific PHI,Which paid leads leak after form submit?,Simulated row only - no real clinic patient PHI or outcome
Phone tree abandoned call,Existing patient appointment question,No owner,Unresolved over 24h,abandon_time_queue_and_retry_status,human callback required,store queue not recording transcript,Which abandoned calls became invisible?,Simulated row only - no real clinic patient PHI or outcome
