business_name,template_code,recommended_channel,public_email,public_phone_whatsapp,website_source_url,confidence,risk_notes
Dentcraft Multispeciality Dental Clinic,HEALTHCARE-A,WhatsApp/call,info@dentcraftdentalclinic.com,+91 8448262006,https://dentcraftdentalclinic.com/contact-us,High,Healthcare: avoid outcome/medical claims; use appointment/admin automation angle only.
Aryaa Dental Clinic,HEALTHCARE-A,WhatsApp/call,,+91 7678429627,https://aryaadentalclinic.com/contact-us/,Medium,Phone extracted from official page markup; no public email found. Avoid medical claims.
Ganesh Diagnostic and Imaging Centre Pvt. Ltd.,HEALTHCARE-A,WhatsApp/call,info@ganeshdiagnostic.com,+91 9212125996; 01147333333,https://www.ganeshdiagnostic.com/contact-us,High,"Healthcare data sensitivity; avoid diagnostic accuracy/outcome claims; contacts include multiple numbers, verify preferred channel."
Yatharth Hospitals,HEALTHCARE-A,Email/call via official contact desk,,Noida +91 9582833333; Greater Noida +91 8800447777; Noida Ext +91 8800110086,https://www.yatharthhospitals.com/,High,Large enterprise procurement cycle; strict healthcare/legal review needed; avoid outcome claims.
Dadu Medical Centre,HEALTHCARE-A,WhatsApp,,WhatsApp +91 7428500885; +91 9667721501; +91 9810939319,https://www.dadumedicalcentre.com/contact-us/,High,Medical/aesthetic claims sensitive; use admin workflow only.
DUCAT India,EDU-A,WhatsApp/email,info@ducatindia.com,Phone 7070905090; WhatsApp 9999993213,https://www.ducatindia.com/contact-us,High,Competitive edtech market; avoid claiming admissions outcomes.
CETPA Infotech Pvt. Ltd.,EDU-A,WhatsApp/email,query@cetpainfotech.com,+91 7827011536; +91 9212172602; 0120-4535353,https://www.cetpainfotech.com/,High,Contacts extracted from official homepage; verify branch-specific recipient.
Drishti IAS,EDU-A,Email/call,care@groupdrishti.in,+91 8010440440; +91 8750187501,https://www.drishtiias.com/contact,High,"Large brand with internal tech team; outreach should be consultative, not generic."
FIITJEE,EDU-A,Email/call,info@fiitjee.com,+91 7825895400,https://www.fiitjee.com/contact-us,High,Large legacy institute; procurement may be slow; avoid academic result claims.
BASU Classes,EDU-A,WhatsApp/call,,+91 8130147179; 8447760430,https://basueducation.com/,Medium,No public email found; phone extracted from official page.
Capital India,MFG-A,WhatsApp/email,infocapitalindia@gmail.com,+91 9990665758; +91 8510050515,https://www.capitalindia.ind.in/contact-us/,High,Gmail address suggests limited domain-email maturity; verify decision-maker before proposal.
R. P. Enterprises,MFG-A,Call,,08045801389,https://www.rpenterprises.co.in/contact-us.html,Medium,Phone appears via marketplace/TradeIndia widget; public business email not found.
Krishna Enterprises / Krishna Plastics,MFG-A,WhatsApp/email,krishna.enterprises04@gmail.com,+91 9319573636,https://krishnaaplastics.in/contact-us/,High,Gmail contact; likely owner-led sales process; keep pitch simple.
House of Ace's,MFG-A,Email/WhatsApp,akarsh@houseofaces.in,+91 9873550260; 0120-4070268,https://houseofaces.co.in/,Medium,Official homepage contained some dummy/example emails too; use only domain email and verify before outreach.
Sai Creations,MFG-A,Email/call,info@saicreations.co.in,(+91) 120-4356635,https://www.saicreations.co.in/contact-us,High,B2B exporter; email-first professional tone recommended.
Investors Clinic,RE-A,WhatsApp/email,customercare@investors-clinic.com; support@investorsclinic.in,+91 8010101010; 0120-4247285,https://investorsclinic.in/contact-us,High,Real estate has RERA/compliance sensitivities; avoid investment-return claims.
Looks Salon,SALON-A,Email/call,customercare@lookssalon.in,1800 212 5665,https://www.lookssalon.in/,Medium,Large chain; central customer care may not route vendor pitches.
Geetanjali Salon,SALON-A,WhatsApp/call,,+91 7428918292,https://www.geetanjalisalon.com/locations/,Medium,Contact number extracted from official locations page markup; no public email found.
Bakingo,FOOD-A,Email/call,care@bakingo.com,+91 8882553333,https://www.bakingo.com/contact-us,High,"Already tech-enabled; pitch should be audit/optimization, not basic website."
Bikanervala,FOOD-A,Email/call,customercare@bikanervala.com,+91 8802143800; +91 9650075931,https://bikanervala.com/pages/contact,High,Large established brand; central team may require vendor onboarding.
AKGVG & Associates,PROF-A,Email/call,info@akgvg.com,+91 9811118031; +91 9818314719; +91 9891024827,https://www.akgvg.com/contact-us,High,"They may already advise on compliance; pitch operational automation/security support, not tax expertise."
Global Taxation,PROF-A,WhatsApp/email,india@globaltaxation.in,WhatsApp +91 9990999281; +91 9458809281,https://www.globaltaxation.in/contact-us.html,High,"Sensitive financial data; stress privacy/security, avoid legal/tax advice claims."
I.P. Pasricha & Co.,PROF-A,Call/LinkedIn follow-up,,+91 9810774806,https://ippcgroup.com/,Medium,Only phone reliably extracted from official site; email not clearly public in fetched source.
Dinesh Aarjav & Associates,PROF-A,WhatsApp/email,info@dineshaarjav.com,+91 9899969645,https://www.dineshaarjav.com/,High,Small firm: keep offer lightweight and ROI-focused.
S Lohia & Associates,PROF-A,Email/WhatsApp,sulabhlohia@slohia.com,+91 9810353219; +91 9910353219,https://www.slohia.com/,High,Financial/legal sensitivity; no tax claims; emphasize process/security.
