business_name,category,city_area,recommended_channel,template_id,template_category,public_phone_whatsapp,public_email,website_source_url,confidence,approval_status
Dentcraft Multispeciality Dental Clinic,Dental clinic,Noida Sector 104,WhatsApp/call,HEALTHCARE-A,Healthcare / diagnostics / dental / aesthetic clinics,+91 8448262006,info@dentcraftdentalclinic.com,https://dentcraftdentalclinic.com/contact-us,High,pending_raj_approval
Aryaa Dental Clinic,Dental clinic,Noida Sector 137,WhatsApp/call,HEALTHCARE-A,Healthcare / diagnostics / dental / aesthetic clinics,+91 7678429627,,https://aryaadentalclinic.com/contact-us/,Medium,pending_raj_approval
Ganesh Diagnostic and Imaging Centre Pvt. Ltd.,Diagnostics centre,"Rohini, Delhi",WhatsApp/call,HEALTHCARE-A,Healthcare / diagnostics / dental / aesthetic clinics,+91 9212125996; 01147333333,info@ganeshdiagnostic.com,https://www.ganeshdiagnostic.com/contact-us,High,pending_raj_approval
Yatharth Hospitals,Hospital group,Noida / Greater Noida / Noida Extension / Faridabad / Delhi NCR,Email/call via official contact desk,HEALTHCARE-A,Healthcare / diagnostics / dental / aesthetic clinics,Noida +91 9582833333; Greater Noida +91 8800447777; Noida Ext +91 8800110086,,https://www.yatharthhospitals.com/,High,pending_raj_approval
Dadu Medical Centre,Dermatology/aesthetic clinic,Delhi,WhatsApp,HEALTHCARE-A,Healthcare / diagnostics / dental / aesthetic clinics,WhatsApp +91 7428500885; +91 9667721501; +91 9810939319,,https://www.dadumedicalcentre.com/contact-us/,High,pending_raj_approval
DUCAT India,IT training institute,Noida Sector 16,WhatsApp/email,EDU-A,Education / coaching / training institutes,Phone 7070905090; WhatsApp 9999993213,info@ducatindia.com,https://www.ducatindia.com/contact-us,High,pending_raj_approval
CETPA Infotech Pvt. Ltd.,Training company,Noida,WhatsApp/email,EDU-A,Education / coaching / training institutes,+91 7827011536; +91 9212172602; 0120-4535353,query@cetpainfotech.com,https://www.cetpainfotech.com/,High,pending_raj_approval
Drishti IAS,Coaching / test prep,Delhi / Noida,Email/call,EDU-A,Education / coaching / training institutes,+91 8010440440; +91 8750187501,care@groupdrishti.in,https://www.drishtiias.com/contact,High,pending_raj_approval
FIITJEE,Coaching / test prep,Delhi NCR,Email/call,EDU-A,Education / coaching / training institutes,+91 7825895400,info@fiitjee.com,https://www.fiitjee.com/contact-us,High,pending_raj_approval
BASU Classes,School coaching institute,Noida,WhatsApp/call,EDU-A,Education / coaching / training institutes,+91 8130147179; 8447760430,,https://basueducation.com/,Medium,pending_raj_approval
Capital India,Industrial equipment manufacturer,"Najafgarh, New Delhi / Delhi NCR",WhatsApp/email,MFG-A,Manufacturing / export / RFQ businesses,+91 9990665758; +91 8510050515,infocapitalindia@gmail.com,https://www.capitalindia.ind.in/contact-us/,High,pending_raj_approval
R. P. Enterprises,Industrial components manufacturer/exporter,Noida Sector 7,Call,MFG-A,Manufacturing / export / RFQ businesses,08045801389,,https://www.rpenterprises.co.in/contact-us.html,Medium,pending_raj_approval
Krishna Enterprises / Krishna Plastics,Plastic injection moulding manufacturer,Okhla Delhi / Ecotech III Greater Noida,WhatsApp/email,MFG-A,Manufacturing / export / RFQ businesses,+91 9319573636,krishna.enterprises04@gmail.com,https://krishnaaplastics.in/contact-us/,High,pending_raj_approval
House of Ace's,Private label clothing manufacturer/exporter,Noida,Email/WhatsApp,MFG-A,Manufacturing / export / RFQ businesses,+91 9873550260; 0120-4070268,akarsh@houseofaces.in,https://houseofaces.co.in/,Medium,pending_raj_approval
Sai Creations,Garment manufacturer/exporter,Noida Sector 63,Email/call,MFG-A,Manufacturing / export / RFQ businesses,(+91) 120-4356635,info@saicreations.co.in,https://www.saicreations.co.in/contact-us,High,pending_raj_approval
Investors Clinic,Real estate services,Greater Noida West / Gurugram,WhatsApp/email,RE-A,Real estate / brokerage / property services,+91 8010101010; 0120-4247285,customercare@investors-clinic.com; support@investorsclinic.in,https://investorsclinic.in/contact-us,High,pending_raj_approval
