lane,check,green_evidence,score_status,owner,release_decision,notes
Baseline behavior,Known output baseline,Previous accepted outputs and impacted journeys are documented,,,,
Baseline behavior,Acceptance threshold,Thresholds are stated before comparing the new change,,,,
Baseline behavior,Non-regression scope,Must-not-break workflows are listed with owner sign-off,,,,
Regression test set,Representative examples,Common production scenarios are tested before and after,,,,
Regression test set,Edge and failure examples,Known difficult or unsafe cases are versioned and reviewed,,,,
Regression test set,Result comparison,Delta from prior behavior is recorded clearly for decision owners,,,,
Safety and policy gates,Unsafe output checks,Unsafe or prohibited outputs are tested and reviewed,,,,
Safety and policy gates,Sensitive data checks,PII/sensitive data handling and redaction expectations are checked,,,,
Safety and policy gates,Escalation route,Human-review or refusal route is documented for policy failures,,,,
Retrieval and source quality,Approved source list,Retrieval sources and owners are documented,,,,
Retrieval and source quality,Freshness and citation behavior,Stale or incorrect source examples are tested,,,,
Retrieval and source quality,Source failure handling,System behavior is checked when retrieval fails or conflicts,,,,
Cost and latency impact,Token and inference cost,Expected cost movement is compared with current baseline,,,,
Cost and latency impact,Latency and fallback impact,Latency and fallback behavior are tested under expected usage,,,,
Cost and latency impact,Budget owner acceptance,Cost owner accepts release or records boundary,,,,
Release and rollback ownership,Decision owner,Named release owner signs go/no-go decision,,,,
Release and rollback ownership,Rollback trigger,Rollback condition and path are documented,,,,
Release and rollback ownership,Post-release review,Monitoring owner and review date are assigned,,,,
