prospect_id,metro,vertical,business_name,area,owner_name,contact_channels,phone,website,source_platform,source_url,fit_score,fit_reason,risk_notes,status,verified_at,tier
OWNER-BLR-001,Bengaluru,dental,Chisel Dental,Koramangala,Dr. Sumanth Shetty,contact_form: Practo Book Clinic Visit,,https://www.practo.com/bangalore/doctor/dr-sumanth-shetty-2-dentist?practice_id=745107&specialization=Dentist,Practo,https://www.practo.com/bangalore/doctor/dr-sumanth-shetty-2-dentist?practice_id=745107&specialization=Dentist,8,Named dentist profile; Chisel Dental has specific clinic page/photos and Practo booking path; high-intent Koramangala location.,Ownership not separately verified; treated as owner-led candidate because named doctor is tied to a specific non-national clinic profile.,verified_practo,2026-05-24T19:40:00+05:30,1
OWNER-BLR-002,Bengaluru,dental,All Care Dental Centre - since 1969,Indiranagar,Dr. Venkatesh M J,contact_form: Practo clinic/profile booking,,https://www.practo.com/bangalore/doctor/venkatesh-m-j-dentist?practice_id=1328152&specialization=Dentist,Practo,https://www.practo.com/bangalore/doctor/venkatesh-m-j-dentist?practice_id=1328152&specialization=Dentist,8,Named dentist profile; long-running independent clinic branding; premium Indiranagar locality.,Ownership not separately verified; public doctor/clinic association verified on Practo.,verified_practo,2026-05-24T19:40:00+05:30,1
OWNER-BLR-003,Bengaluru,dental,Dental DeCare,Domlur / Indiranagar,Dr. K A Mohan,contact_form: Practo clinic/profile booking,,https://www.practo.com/bangalore/doctor/dr-k-a-mohan?practice_id=1138332&specialization=Dentist,Practo,https://www.practo.com/bangalore/doctor/dr-k-a-mohan?practice_id=1138332&specialization=Dentist,8,Named senior dentist profile; clinic is associated with Domlur/Indiranagar and not a national chain; strong trust/compliance fit.,Ownership not separately verified; public doctor/clinic association verified on Practo.,verified_practo,2026-05-24T19:40:00+05:30,1
OWNER-BLR-004,Bengaluru,dental,Smile Care Orthodontic Center and Multispeciality Dental Clinic,HSR Layout,Dr. Mahantesh,contact_form: Practo Book Clinic Visit,,https://www.practo.com/bangalore/doctor/dr-mahantesh-2-dentist?practice_id=1272173&specialization=Dentist,Practo,https://www.practo.com/bangalore/doctor/dr-mahantesh-2-dentist?practice_id=1272173&specialization=Dentist,7,Named dentist profile; HSR Layout catchment and clinic booking path make it relevant for lead recovery.,Ownership not separately verified; clinic may have multiple locations under similar name.,verified_practo,2026-05-24T19:40:00+05:30,1
OWNER-BLR-005,Bengaluru,dental,Impressions Dental Specialities,Sahakaranagar,Dr. Baswaraj Biradar,contact_form: Practo clinic/profile booking,,https://www.practo.com/bangalore/doctor/dr-baswaraj-biradar-dentist?practice_id=734346&specialization=Dentist,Practo,https://www.practo.com/bangalore/doctor/dr-baswaraj-biradar-dentist?practice_id=734346&specialization=Dentist,7,Named dentist profile; independent clinic branding with clinic photos; north Bengaluru catchment.,Ownership not separately verified; public doctor/clinic association verified on Practo.,verified_practo,2026-05-24T19:40:00+05:30,1
OWNER-BLR-006,Bengaluru,dental,Smile Dental Care,Vijayanagar,Dr. Sunil Rao,contact_form: Practo clinic/profile booking,,https://www.practo.com/bangalore/doctor/dr-sunil-rao-dentist-1?practice_id=779552&specialization=Dentist,Practo,https://www.practo.com/bangalore/doctor/dr-sunil-rao-dentist-1?practice_id=779552&specialization=Dentist,7,Named dentist profile; independent clinic naming and residential locality support local owner-led outreach.,Ownership not separately verified; public doctor/clinic association verified on Practo.,verified_practo,2026-05-24T19:40:00+05:30,1
OWNER-BLR-007,Bengaluru,dental,Vignesh Dental Speciality Centre,New Thippasandra,Dr. Shyam Padmanabhan; Dr. D N Naveen,contact_form: Practo clinic/profile booking,,https://www.practo.com/bangalore/doctor/dr-shyam-padmanabhan-dentist?practice_id=1235728&specialization=Dentist,Practo,https://www.practo.com/bangalore/doctor/dr-shyam-padmanabhan-dentist?practice_id=1235728&specialization=Dentist,7,Two named dentists associated with the same clinic; small-team profile fits owner-led discovery better than chains.,Ownership not separately verified; listed as named doctors rather than confirmed legal owners.,verified_practo,2026-05-24T19:40:00+05:30,1
OWNER-BLR-008,Bengaluru,dental,Ivory Dental,Kundalahalli / Whitefield,Dr. Ramya,contact_form: Practo clinic/profile booking,,https://www.practo.com/bangalore/doctor/dr-ramya-dentist?practice_id=744758&specialization=Dentist,Practo,https://www.practo.com/bangalore/doctor/dr-ramya-dentist?practice_id=744758&specialization=Dentist,7,Named dentist profile says she works with Ivory Dental near Whitefield; area has high appointment-search intent.,Ownership not separately verified; public doctor/clinic association verified on Practo.,verified_practo,2026-05-24T19:40:00+05:30,1
OWNER-BLR-009,Bengaluru,dental,Denta Uno Dental,JP Nagar 6 Phase,Dr. Umesh B M; Dr. Sushma B T,contact_form: Practo Book Appointment,,https://www.practo.com/bangalore/clinic/denta-uno-advanced-multispeciality-dental-clinic-jp-nagar-6-phase-1,Practo,https://www.practo.com/bangalore/clinic/denta-uno-advanced-multispeciality-dental-clinic-jp-nagar-6-phase-1,7,Clinic page names doctors and provides Practo booking path; JP Nagar residential catchment fits missed-lead audit offer.,Ownership not separately verified; public doctor names verified from clinic page.,verified_practo,2026-05-24T19:40:00+05:30,1
OWNER-BLR-010,Bengaluru,dental,Dental Frames,Banaswadi,Dr. Kiran Raj N,contact_form: Practo Book Appointment,,https://www.practo.com/bangalore/clinic/dental-frames-banaswadi-banaswadi-1,Practo,https://www.practo.com/bangalore/clinic/dental-frames-banaswadi-banaswadi-1,7,Clinic page names Dr. Kiran Raj N and offers Practo booking; independent clinic branding fits owner-led prospecting.,Ownership not separately verified; public doctor name verified from clinic page.,verified_practo,2026-05-24T19:40:00+05:30,1
