business_name,category,city_area,website_source_url,public_phone_whatsapp,public_email,why_fit_for_AICS,risk_notes,recommended_channel,confidence
Dentcraft Multispeciality Dental Clinic,Dental clinic,Noida Sector 104,https://dentcraftdentalclinic.com/contact-us,+91 8448262006,info@dentcraftdentalclinic.com,"Appointment-heavy local clinic; can benefit from WhatsApp enquiry capture, missed-call follow-up, review prompts and simple privacy-aware patient intake automation.",Healthcare: avoid outcome/medical claims; use appointment/admin automation angle only.,WhatsApp/call,High
Aryaa Dental Clinic,Dental clinic,Noida Sector 137,https://aryaadentalclinic.com/contact-us/,+91 7678429627,,Local dental clinic with online appointment intent; fit for WhatsApp booking automation and enquiry leakage reduction.,Phone extracted from official page markup; no public email found. Avoid medical claims.,WhatsApp/call,Medium
Ganesh Diagnostic and Imaging Centre Pvt. Ltd.,Diagnostics centre,"Rohini, Delhi",https://www.ganeshdiagnostic.com/contact-us,+91 9212125996; 01147333333,info@ganeshdiagnostic.com,"Diagnostics business gets high inbound calls/reports queries; fit for WhatsApp FAQ, report-status routing, CRM hygiene and compliance-aware data handling.","Healthcare data sensitivity; avoid diagnostic accuracy/outcome claims; contacts include multiple numbers, verify preferred channel.",WhatsApp/call,High
Yatharth Hospitals,Hospital group,Noida / Greater Noida / Noida Extension / Faridabad / Delhi NCR,https://www.yatharthhospitals.com/,Noida +91 9582833333; Greater Noida +91 8800447777; Noida Ext +91 8800110086,,"Large multi-location hospital with enquiry routing complexity; fit for appointment-flow audit, call leakage analytics, cloud reliability and compliance hygiene.",Large enterprise procurement cycle; strict healthcare/legal review needed; avoid outcome claims.,Email/call via official contact desk,High
Dadu Medical Centre,Dermatology/aesthetic clinic,Delhi,https://www.dadumedicalcentre.com/contact-us/,WhatsApp +91 7428500885; +91 9667721501; +91 9810939319,,"Aesthetic clinic with high WhatsApp consultation demand; fit for lead qualification, appointment reminders and review/re-engagement automation.",Medical/aesthetic claims sensitive; use admin workflow only.,WhatsApp,High
DUCAT India,IT training institute,Noida Sector 16,https://www.ducatindia.com/contact-us,Phone 7070905090; WhatsApp 9999993213,info@ducatindia.com,"Training institute likely handles frequent course enquiries; fit for chatbot/WhatsApp counsellor triage, lead tracking and follow-up automation.",Competitive edtech market; avoid claiming admissions outcomes.,WhatsApp/email,High
CETPA Infotech Pvt. Ltd.,Training company,Noida,https://www.cetpainfotech.com/,+91 7827011536; +91 9212172602; 0120-4535353,query@cetpainfotech.com,"Course enquiry volume and counsellor follow-ups make it a good fit for enquiry capture, CRM, WhatsApp sequencing and cloud-hosted lead dashboards.",Contacts extracted from official homepage; verify branch-specific recipient.,WhatsApp/email,High
Drishti IAS,Coaching / test prep,Delhi / Noida,https://www.drishtiias.com/contact,+91 8010440440; +91 8750187501,care@groupdrishti.in,"Large coaching brand with centre/course/support traffic; fit for student enquiry routing, FAQ automation and support-ticket triage.","Large brand with internal tech team; outreach should be consultative, not generic.",Email/call,High
FIITJEE,Coaching / test prep,Delhi NCR,https://www.fiitjee.com/contact-us,+91 7825895400,info@fiitjee.com,"Admission query-heavy education business; fit for missed-lead audit, WhatsApp follow-up and cloud/support process automation.",Large legacy institute; procurement may be slow; avoid academic result claims.,Email/call,High
BASU Classes,School coaching institute,Noida,https://basueducation.com/,+91 8130147179; 8447760430,,"Local coaching institute; fit for WhatsApp enquiry capture, class trial booking and parent follow-up automation.",No public email found; phone extracted from official page.,WhatsApp/call,Medium
Capital India,Industrial equipment manufacturer,"Najafgarh, New Delhi / Delhi NCR",https://www.capitalindia.ind.in/contact-us/,+91 9990665758; +91 8510050515,infocapitalindia@gmail.com,"B2B manufacturer with quote/spec enquiries; fit for website enquiry forms, WhatsApp catalogue, lead tracking and basic cloud backup/security hygiene.",Gmail address suggests limited domain-email maturity; verify decision-maker before proposal.,WhatsApp/email,High
R. P. Enterprises,Industrial components manufacturer/exporter,Noida Sector 7,https://www.rpenterprises.co.in/contact-us.html,08045801389,,"B2B manufacturing lead source via website; fit for RFQ capture, catalogue automation and export enquiry tracking.",Phone appears via marketplace/TradeIndia widget; public business email not found.,Call,Medium
Krishna Enterprises / Krishna Plastics,Plastic injection moulding manufacturer,Okhla Delhi / Ecotech III Greater Noida,https://krishnaaplastics.in/contact-us/,+91 9319573636,krishna.enterprises04@gmail.com,"Manufacturing MSME with two branches; fit for RFQ automation, WhatsApp business workflow, domain email/cloud hygiene and enquiry tracking.",Gmail contact; likely owner-led sales process; keep pitch simple.,WhatsApp/email,High
House of Ace's,Private label clothing manufacturer/exporter,Noida,https://houseofaces.co.in/,+91 9873550260; 0120-4070268,akarsh@houseofaces.in,"Exporter/private-label manufacturer; fit for international enquiry routing, catalogue/quote workflows, cloud document sharing and follow-up automation.",Official homepage contained some dummy/example emails too; use only domain email and verify before outreach.,Email/WhatsApp,Medium
Sai Creations,Garment manufacturer/exporter,Noida Sector 63,https://www.saicreations.co.in/contact-us,(+91) 120-4356635,info@saicreations.co.in,"Multi-factory apparel exporter; fit for enquiry management, secure cloud document exchange, buyer follow-up and compliance/process digitisation.",B2B exporter; email-first professional tone recommended.,Email/call,High
Investors Clinic,Real estate services,Greater Noida West / Gurugram,https://investorsclinic.in/contact-us,+91 8010101010; 0120-4247285,customercare@investors-clinic.com; support@investorsclinic.in,"Real estate brokerage has high inbound lead volume; fit for lead leakage audit, WhatsApp bot, CRM routing and campaign attribution.",Real estate has RERA/compliance sensitivities; avoid investment-return claims.,WhatsApp/email,High
Looks Salon,Salon chain,Delhi NCR,https://www.lookssalon.in/,1800 212 5665,customercare@lookssalon.in,"Appointment and franchise/customer-care flows; fit for booking automation, feedback/review workflows and store-level lead routing.",Large chain; central customer care may not route vendor pitches.,Email/call,Medium
Geetanjali Salon,Salon/aesthetic chain,Delhi NCR,https://www.geetanjalisalon.com/locations/,+91 7428918292,,"Multi-outlet salon brand; fit for outlet-level booking automation, WhatsApp offers, loyalty flows and customer feedback capture.",Contact number extracted from official locations page markup; no public email found.,WhatsApp/call,Medium
Bakingo,Bakery/cloud kitchen/e-commerce food,Gurugram / Delhi NCR operations,https://www.bakingo.com/contact-us,+91 8882553333,care@bakingo.com,"High-volume online order/support business; fit for support automation, cloud reliability, WhatsApp order help and SLA dashboards.","Already tech-enabled; pitch should be audit/optimization, not basic website.",Email/call,High
Bikanervala,Restaurant/sweets chain,Delhi NCR / HQ New Delhi,https://bikanervala.com/pages/contact,+91 8802143800; +91 9650075931,customercare@bikanervala.com,"Restaurant/retail chain with customer care and franchise/order queries; fit for support routing, WhatsApp feedback, cloud backup and branch enquiry analytics.",Large established brand; central team may require vendor onboarding.,Email/call,High
AKGVG & Associates,CA / professional services firm,Rohini Delhi / Gurugram,https://www.akgvg.com/contact-us,+91 9811118031; +91 9818314719; +91 9891024827,info@akgvg.com,"Professional services firm can use secure client intake, document workflows, compliance dashboards and cloud hygiene automation.","They may already advise on compliance; pitch operational automation/security support, not tax expertise.",Email/call,High
Global Taxation,CA / tax advisory firm,"Nirman Vihar, New Delhi",https://www.globaltaxation.in/contact-us.html,WhatsApp +91 9990999281; +91 9458809281,india@globaltaxation.in,"Tax/advisory firm with appointment forms and international services; fit for secure document collection, appointment automation and client follow-up.","Sensitive financial data; stress privacy/security, avoid legal/tax advice claims.",WhatsApp/email,High
I.P. Pasricha & Co.,CA / professional services firm,Delhi NCR,https://ippcgroup.com/,+91 9810774806,,"Professional services firm; fit for client portal, cloud document management, workflow automation and cybersecurity hygiene.",Only phone reliably extracted from official site; email not clearly public in fetched source.,Call/LinkedIn follow-up,Medium
Dinesh Aarjav & Associates,CA firm,Delhi,https://www.dineshaarjav.com/,+91 9899969645,info@dineshaarjav.com,"CA firm with SME client base; fit for client intake automation, reminders, secure file exchange and domain/email modernization.",Small firm: keep offer lightweight and ROI-focused.,WhatsApp/email,High
S Lohia & Associates,CA / NRI tax advisory firm,Sector 18 Noida,https://www.slohia.com/,+91 9810353219; +91 9910353219,sulabhlohia@slohia.com,"NRI/cross-border tax advisory likely has document-heavy workflows; fit for secure cloud workflows, website enquiry automation and client follow-up.",Financial/legal sensitivity; no tax claims; emphasize process/security.,Email/WhatsApp,High
