row_id,vertical,business_name,owner_name,city,metro,website,google_rating,google_reviews_count,whatsapp_number,instagram_handle,source_url,source_platform,status,notes
MUMBAI-001,dental,Smile Studio Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/smile-studio-worli-1,Practo,researched,Worli; Practo listing; 2 doctors; multi-speciality clinic.
MUMBAI-002,dental,London Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/london-dental-clinic-worli,Practo,researched,Worli; Practo listing; 2 doctors; multi-speciality clinic.
MUMBAI-003,dental,Kenia Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/kenia-dental-clinic-santacruz,Practo,researched,Santacruz; Practo listing; dental clinic; 1 doctor.
MUMBAI-004,dental,Smile Care Dental Clinic,Dr. Amit Gupta,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/smile-care-dental-clinic-dattani-park-kandivli-by-dr-amit-gupta-kandivali-east,Practo,researched,Kandivali East; Practo implant clinic result; quality dentistry positioning.
MUMBAI-005,dental,Dr. Mehtaa's Dental Clinic,Dr. Ankit H Mehta / Dr. Nidhi Mehta,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/dr-mehtaa-s-dental-clinic-santacruz-west,Practo,researched,"Santacruz West; Practo lists smile makeovers, cosmetic treatment and RCT services."
MUMBAI-006,dental,Dazzle Dental,,Mumbai,Mumbai,https://dazzledentalclinic.com/,,,,,https://www.practo.com/Mumbai/clinic/dazzle-dental-kemps-corner,Practo,researched,"Kemps Corner; Practo result describes top-rated clinic, digital dentistry and in-house laboratory."
MUMBAI-007,dental,Smiling Mumbai Dental Clinics,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/smiling-mumbai-dental-clinics-malad-east,Practo,researched,Malad East; Practo listing; 6 doctors; multi-speciality clinic.
MUMBAI-008,dental,Sure Smile Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/sure-smile-clinic-khar-west,Practo,researched,Khar West; Practo listing; modern-age family dental practice positioning.
MUMBAI-009,dental,Sai Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/sai-dental-clinic-bhayander-west-1,Practo,researched,Bhayandar West; Practo listing; 7 doctors.
MUMBAI-010,dental,Dr. Mitesh Gandhi Dental Clinic,Dr. Mitesh Gandhi,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/dr-mitesh-clinic-kandivali-west,Practo,researched,Kandivali West; Practo listing; 1 doctor.
MUMBAI-011,dental,Cosmos Dental Clinic,Dr. Chintan Gandhi,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/cosmos-dental-clinic,Lybrate,researched,Lybrate listing; doctor name visible in search result; appointment/contact profile.
MUMBAI-012,dental,Dr Poonam's Dental Care,Dr. Poonam Desai,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/dr-poonam-s-dental-care,Lybrate,researched,Lybrate listing; doctor name visible in search result; appointment/contact profile.
MUMBAI-013,dental,Mydentist Link Road,Dr. Dimple Bangera,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/mydentist-mumbai,Lybrate,researched,Lybrate listing for Link Road; multi-location brand signal.
MUMBAI-014,dental,Shree Dental Clinic,Dr. Priya Mourya,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/shree-dental-clinic-lal-chikki,Lybrate,researched,Lybrate listing; doctor name visible in result.
MUMBAI-015,dental,Shree Ramcharan Yadav Charitable Trust Dental Clinic,Dr. Ajay P. Yadav,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/shree-ramcharan-yadav-charitable-trust-dental-clinic-mumbai,Lybrate,researched,Saki Naka; Lybrate listing; charitable trust clinic signal.
MUMBAI-016,dental,Dr. Akshay's DentAvenue,,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinics/dental-clinics,Lybrate,researched,Chembur; Lybrate Mumbai dental clinics page shows 4.3 rating and 3 doctors.
MUMBAI-017,dental,Evershine Dental,,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinics/dental-clinics,Lybrate,researched,Ghatkopar East; Lybrate Mumbai dental clinics page shows 4.3 rating and 2 doctors.
MUMBAI-018,dental,Hai Dent Cosmo LLP,,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinics/dental-clinics,Lybrate,researched,Kemps Corner; Lybrate Mumbai dental clinics page shows 4.3 rating and 6 doctors.
MUMBAI-019,dental,Dentzz Dental Care Centres,,Mumbai,Mumbai,https://www.dentzzdental.com/,,,,,https://www.google.com/maps/search/?api=1&query=Dentzz%20Dental%20Care%20Centres%20Mumbai,Google Maps,researched,Premium cosmetic/implant dentistry brand; high-value digital presence target. Source URL is public Google Maps search URL; enrich place URL before outreach.
