cost_signal,redacted_evidence,likely_owner,safe_action_gate,rollback_gate,unsupported_claim_stop
BigQuery query cost spike,Masked Billing screenshot and query-label summary,Data/analytics owner,Review scheduled queries and table scan patterns before optimization,Keep original query and output validation window,No savings claim until two billing windows are reviewed
GKE cluster idle overnight,Project/service total and masked cluster label summary,Engineering owner,Confirm production/staging purpose before scaling or autoscaling changes,Document restore/scale-up owner and monitoring alert,No ROI claim from utilization estimate alone
Cloud Run job repeat failures,Service-family spend and error-count screenshot,Application owner,Fix retry loop only after owner confirms customer impact,Keep previous revision and rollback command owner,No performance claim without post-fix logs
Logging retention high,Masked logging cost category and retention policy screenshot,Security/compliance owner,Check retention obligations before exclusion or retention changes,Record retention policy approver and restore path,No compliance claim from checklist
Persistent disk unattached,Redacted disk age/region/type table,Infrastructure owner,Snapshot/tag-check before deletion or archive,Keep recovery plan and approval timestamp,No savings claim before invoice confirmation
Committed use discount underused,Masked commitment coverage/export summary,Finance/procurement owner,Review workload forecast before buying/selling commitments,Record finance approval and expiry dates,No runway claim from forecast alone
Vertex AI/API spend jump,Masked SKU trend and owner notes,AI product owner,Separate experiments from production before quotas or model changes,Keep prompt/model/version rollback owner,No AI cost reduction claim without measured billing
Cloud Storage lifecycle gap,Masked bucket class/age summary,Data owner,Confirm retention/privacy/customer dependencies before lifecycle rules,Keep restore and exception register,No storage saving claim without bill proof
Network egress increase,Masked egress SKU and region summary,Architecture owner,Map customer/region dependency before CDN/routing changes,Define rollback and latency monitor owner,No architecture recommendation without approved scope
Unknown unlabeled project,Project list with IDs masked and spend bands,Founder/finance owner,Assign owner and purpose before shutdown or budget cut,Keep emergency contact and recovery window,No waste/theft/blame claim from unknown label
Budget alert missing,No alert emails or budget threshold screenshot,Finance owner,Set owner-approved thresholds before incident-style escalation,Record who receives alerts and review cadence,No demand/revenue claim from alert setup
Marketplace/SaaS charge surprise,Masked invoice line and purchase owner note,Procurement owner,Verify subscription owner and cancellation terms before action,Record contract renewal and cancellation evidence,No savings claim until vendor invoice confirms
