folder,evidence_check,document_or_link,status,owner,reviewer,claim_boundary_note
01-business-problem-baseline,Problem statement and affected workflow,,,,,
01-business-problem-baseline,Baseline metric and measurement rule,,,,,
01-business-problem-baseline,Affected user or customer segment,,,,,
02-pilot-result-and-limits,Pilot result with date range and sample size,,,,,
02-pilot-result-and-limits,Exclusions and what was not proven,,,,,
02-pilot-result-and-limits,Manual review notes and unresolved issues,,,,,
03-quality-evaluation,Prompt/model/retrieval test set,,,,,
03-quality-evaluation,Acceptance threshold and regression result,,,,,
03-quality-evaluation,Known failure examples and human review rule,,,,,
04-data-security-boundary,Data classes and sensitive-data boundary,,,,,
04-data-security-boundary,Access scope and redaction rule,,,,,
04-data-security-boundary,Vendor path retention and security review questions,,,,,
05-economics-and-scale-cost,Unit cost and usage driver,,,,,
05-economics-and-scale-cost,Scale forecast and budget owner,,,,,
05-economics-and-scale-cost,Cost anomaly trigger and approval threshold,,,,,
06-operations-handoff,Runbook and production owner,,,,,
06-operations-handoff,Monitoring signal and incident path,,,,,
06-operations-handoff,Rollback path and change approval cadence,,,,,
07-decision-record,Go no-go options and remaining gaps,,,,,
07-decision-record,Risk acceptance and owner sign-off,,,,,
07-decision-record,Launch boundary and next review date,,,,,
