business_name,city,metro,vertical,owner_name,source_platforms,source_url,practo_profile_url,justdial_url,phone,website_url,linkedin_url,tier,fit_score,reason_for_fit,risk_notes,recommended_channel
The Dental Studio,Mumbai,Mumbai,Dental clinic,Dr. Chitrang Thaker,Practo,https://www.practo.com/Mumbai/clinic/dr-chitrang-s-the-dental-studio-goregaon-east,https://www.practo.com/mumbai/doctor/dr-chitrang-thaker-dentist-1?practice_id=648795&specialization=Dentist&referrer=doctor_listing&page_uid=c9aaaea2-5eb6-4b80-833a-aab19cd83871,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Gandhi Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Ashish Gandhi,Practo,https://www.practo.com/Mumbai/clinic/dr-gandhi-dental-clinic-andheri-west,https://www.practo.com/mumbai/doctor/dr-ashish-gandhi-dentist?practice_id=648633&specialization=Dentist&referrer=doctor_listing&page_uid=f861aae6-eca5-4012-a55d-2b121c4f325f,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Wondersmiles,Mumbai,Mumbai,Dental clinic,Dr. Rajesh Kamdar,Practo,https://www.practo.com/Mumbai/clinic/wonder-smiles-dental-clinic-dr-rajesh-kamdar-s-clinic-andheri-west,https://www.practo.com/mumbai/doctor/dr-rajesh-kamdar-dentist-2?practice_id=661108&specialization=Dentist&referrer=doctor_listing&page_uid=f861aae6-eca5-4012-a55d-2b121c4f325f,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Gauri's Dental Speciality Clinic,Mumbai,Mumbai,Dental clinic,Dr. Gauri Kadam,Practo,https://www.practo.com/Mumbai/clinic/dr-gauri-s-dental-speciality-clinic-andheri-west,https://www.practo.com/mumbai/doctor/dr-gauri-kadam-dentist-2?practice_id=651125&specialization=Dentist&referrer=doctor_listing&page_uid=f861aae6-eca5-4012-a55d-2b121c4f325f,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Megghal Shah's Microscope Enhanced Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Meghal Shah,Practo,https://www.practo.com/Mumbai/clinic/dr-meghal-shah-grant-road,https://www.practo.com/mumbai/doctor/dr-meghal-shah-dentist-5?practice_id=756488&specialization=Dentist&referrer=doctor_listing&page_uid=a2b09bfa-c029-45a9-afae-8f29520d3a38,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Parekh's Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Bandish Parekh,Practo,https://www.practo.com/Mumbai/clinic/dr-parekh-s-dental-clinic-bandra-bandra,https://www.practo.com/mumbai/doctor/dr-bandish-parekh-dentist?practice_id=1062743&specialization=Dentist&referrer=doctor_listing&page_uid=0c9ccab2-dac2-4f89-a1a6-508016d98832,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Vora's Dental Care Center,Mumbai,Mumbai,Dental clinic,Dr. Sheel Vora,Practo,https://www.practo.com/Mumbai/clinic/dr-vora-s-dental-care-center-santacruz-east,https://www.practo.com/mumbai/doctor/dr-sheel-vora-dentist?practice_id=688301&specialization=Dentist&referrer=doctor_listing&page_uid=abca84fe-daad-48d7-ab2d-89db0ba8e48d,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Embrace Orthodontics,Mumbai,Mumbai,Dental clinic,Dr. Keyur Mehta,Practo,https://www.practo.com/Mumbai/clinic/dr-keyur-s-orthodontics-clinic-borivali,https://www.practo.com/mumbai/doctor/keyur-mehta-2-dentist?practice_id=771167&specialization=Dentist&referrer=doctor_listing&page_uid=abca84fe-daad-48d7-ab2d-89db0ba8e48d,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Garden Multispeciality Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Vividha Singhania,Practo,https://www.practo.com/Mumbai/clinic/dr-vividha-s-dental-clinic-mahim,https://www.practo.com/mumbai/doctor/dr-vividha-singhania-1-dentist?practice_id=1313190&specialization=Dentist&referrer=doctor_listing&page_uid=abca84fe-daad-48d7-ab2d-89db0ba8e48d,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Inamdar Dental Speciality Clinic,Mumbai,Mumbai,Dental clinic,Dr. Abdul Haque Inamdar,Practo,https://www.practo.com/Mumbai/clinic/dr-inamdar-dental-speciality-clinic-bandra-west,https://www.practo.com/mumbai/doctor/dr-abdulhaue-inamdar-dentist?practice_id=1467885&specialization=Dentist&referrer=doctor_listing&page_uid=67b19b80-8a2d-4ebd-9f32-45d95ca35cde,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
