Risk lane,Board question,Evidence to attach,Decision owner,Green signal,Escalate or stop signal,External claim boundary
Strategic fit,Which business decision will this AI pilot support or automate?,Approved use-case brief success criteria and out-of-scope list,Business sponsor,Use case and exclusions are written and approved,Multiple use cases are bundled without priority,Do not claim enterprise transformation from a narrow pilot
User/customer impact,Who could be affected if outputs are wrong late or unavailable?,User groups journey map complaint log and human fallback owner,Operations owner,Affected users and fallback paths are named,No owner for user impact or complaints,Do not claim customer-safe production readiness without fallback evidence
Data and privacy,What sensitive regulated or customer data touches the pilot?,Data inventory retention rule consent/legal review notes,Data or privacy owner,Data sources and restrictions are documented,Unknown data provenance or retention,Do not claim compliance or privacy approval without qualified review
Model/output reliability,What evidence shows outputs are acceptable for the pilot decision?,Evaluation set regression results error taxonomy and monitoring threshold,AI/technical owner,Pass/fail threshold and retest cadence exist,No repeatable eval or acceptance threshold,Do not claim accuracy superiority from demos
Human override,When must humans review override or stop the workflow?,Override log escalation policy and role permissions,Process owner,Override triggers and permissions are clear,Human review relies on informal judgement,Do not claim autonomous operation where human approval is required
Security/access,Who can access prompts data tools actions and logs?,Access review export least-privilege exception list and incident route,Security owner,Access is reviewed and exceptions are time-boxed,Shared accounts or privileged access without review,Do not claim secure-by-default without access evidence
Cost and scale economics,What cost exposure appears if usage doubles or expands?,Unit-cost estimate budget threshold anomaly runbook and approval gate,Finance/FinOps owner,Cost limit and scale approval gate are documented,Pilot can scale spend without owner approval,Do not claim ROI or savings without measured baseline and finance sign-off
Vendor/procurement dependency,Which vendor tool model cloud or integration could block production?,Vendor-risk notes SLA/support path exit plan and procurement owner,Procurement/vendor owner,Critical dependencies and fallback are visible,Key dependencies lack SLA exit or support owner,Do not imply vendor endorsement partnership or certification
Rollback readiness,How can the pilot be paused restricted or reverted?,Rollback checklist feature flag/manual mode retest gate and communications owner,Incident/change owner,Pause criteria and containment action are tested,No tested way to stop or contain the pilot,Do not claim production-ready without rollback evidence
Board decision record,What decision is the board or steering group being asked to make?,One-page decision record open risks accepted risks date and signatures,Executive sponsor,Decision options and accepted risks are explicit,Approval is inferred from meeting discussion,Do not state approval unless the decision record exists
