row_id,vertical,business_name,owner_name,city,metro,website,google_rating,google_reviews_count,whatsapp_number,instagram_handle,source_url,source_platform,status,notes
BENGALURU-001,dental,Clove Dental - Indiranagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Clove%20Dental%20-%20Indiranagar%20Bengaluru,Google Maps,researched,Chain clinic; high-intent locality; likely needs local SEO/automation follow-up.
BENGALURU-002,dental,Clove Dental - HSR Layout,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Clove%20Dental%20-%20HSR%20Layout%20Bengaluru,Google Maps,researched,Chain clinic in tech/residential catchment; multi-branch operations signal.
BENGALURU-003,dental,Clove Dental - Whitefield,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Clove%20Dental%20-%20Whitefield%20Bengaluru,Google Maps,researched,Chain clinic; IT corridor catchment; appointment funnel opportunity.
BENGALURU-004,dental,Clove Dental - Jayanagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Clove%20Dental%20-%20Jayanagar%20Bengaluru,Google Maps,researched,Established residential/commercial locality; chain brand.
BENGALURU-005,dental,Clove Dental - Koramangala,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Clove%20Dental%20-%20Koramangala%20Bengaluru,Google Maps,researched,Startup/young professional catchment; chain brand.
BENGALURU-006,dental,Vasan Dental Care - Indiranagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Vasan%20Dental%20Care%20-%20Indiranagar%20Bengaluru,Google Maps,researched,Dental chain; premium locality; online appointment/compliance potential.
BENGALURU-007,dental,Vasan Dental Care - Jayanagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Vasan%20Dental%20Care%20-%20Jayanagar%20Bengaluru,Google Maps,researched,Dental chain in dense locality; branch operations.
BENGALURU-008,dental,Vasan Dental Care - Rajajinagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Vasan%20Dental%20Care%20-%20Rajajinagar%20Bengaluru,Google Maps,researched,Dental chain; west Bengaluru catchment.
BENGALURU-009,dental,Vasan Dental Care - Koramangala,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Vasan%20Dental%20Care%20-%20Koramangala%20Bengaluru,Google Maps,researched,Dental chain; competitive digital presence market.
BENGALURU-010,dental,Partha Dental - Koramangala,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Partha%20Dental%20-%20Koramangala%20Bengaluru,Google Maps,researched,Multi-city dental brand; urban catchment; likely automation readiness.
BENGALURU-011,dental,Partha Dental - Marathahalli,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Partha%20Dental%20-%20Marathahalli%20Bengaluru,Google Maps,researched,Multi-city dental brand near IT corridor; high footfall locality.
BENGALURU-012,dental,Partha Dental - Electronic City,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Partha%20Dental%20-%20Electronic%20City%20Bengaluru,Google Maps,researched,Multi-city dental brand; tech corridor catchment.
BENGALURU-013,dental,Partha Dental - HSR Layout,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Partha%20Dental%20-%20HSR%20Layout%20Bengaluru,Google Maps,researched,Multi-city dental brand; affluent/tech catchment.
BENGALURU-014,dental,Apollo Dental - Indiranagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Apollo%20Dental%20-%20Indiranagar%20Bengaluru,Google Maps,researched,Hospital/healthcare brand association; trust-led conversion opportunity.
