row_id,vertical,business_name,owner_name,city,metro,website,google_rating,google_reviews_count,whatsapp_number,instagram_handle,source_url,source_platform,status,notes
HYD-DEN-001,dental_clinic,Denta'Glo Dental Clinic & Implant Centre,Dr. Syed Saood Hasan Razvi,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/syed-saood-hasan-razvi-1-dentist?practice_id=701636&specialization=Dentist&referrer=doctor_listing&page_uid=63c62d9d-5561-41ab-a135-a0d1d0415bde,Practo,researched,locality: Tolichowki; Practo recommendation 98%; Practo patient stories/reviews 256; listed dentist experience 20 yrs
HYD-DEN-002,dental_clinic,Sri Sai Dental Hospital,Dr. Chandrashekhar Reddy,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-chandrasekhar-reddy-dentist-1?practice_id=711785&specialization=Dentist&referrer=doctor_listing&page_uid=63c62d9d-5561-41ab-a135-a0d1d0415bde,Practo,researched,locality: Chanda Nagar; Practo recommendation 95%; Practo patient stories/reviews 58; listed dentist experience 27 yrs
HYD-DEN-003,dental_clinic,Brite Smiles Dental Clinic,Dr. M. S. Sushma Susik,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-m-s-sushma-susik-dentist?practice_id=730905&specialization=Dentist&referrer=doctor_listing&page_uid=63c62d9d-5561-41ab-a135-a0d1d0415bde,Practo,researched,locality: Mehdipatnam; Practo recommendation 97%; Practo patient stories/reviews 778; listed dentist experience 35 yrs
HYD-DEN-004,dental_clinic,Dr. Gowd's Dental Hospital,Dr. M S Gowd,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/m-s-gowd-dentist?practice_id=1107174&specialization=Dentist&referrer=doctor_listing&page_uid=63c62d9d-5561-41ab-a135-a0d1d0415bde,Practo,researched,locality: Secunderabad; Practo recommendation 97%; Practo patient stories/reviews 34; listed dentist experience 59 yrs
HYD-DEN-005,dental_clinic,Ethos Dental,Dr. B Vishnu Chaitanya Goud,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/b-vishnu-chaitanya?practice_id=1133194&specialization=Dentist&referrer=doctor_listing&page_uid=63c62d9d-5561-41ab-a135-a0d1d0415bde,Practo,researched,locality: Narsingi; Practo recommendation 99%; Practo patient stories/reviews 332; listed dentist experience 16 yrs
HYD-DEN-006,dental_clinic,Dr.Gowds Dental Hospitals,Dr. Vikas Gowd,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-vikas-gowd-dentist?practice_id=2085138&specialization=Dentist&referrer=doctor_listing&page_uid=63c62d9d-5561-41ab-a135-a0d1d0415bde,Practo,researched,locality: Hitech City; Practo recommendation 98%; Practo patient stories/reviews 109; listed dentist experience 27 yrs
HYD-DEN-007,dental_clinic,FMS Dental Hospital,Dr. Sonali Rathore,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-sonali-rathore?practice_id=1131991&specialization=Dentist&referrer=doctor_listing&page_uid=63c62d9d-5561-41ab-a135-a0d1d0415bde,Practo,researched,locality: Langar Houz; Practo recommendation 100%; Practo patient stories/reviews 1; listed dentist experience 15 yrs
HYD-DEN-008,dental_clinic,FMS Dental,Dr. A. R. Veejai Chandran.,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/a-r-veejai-chandran-dentist?practice_id=2183974&specialization=Dentist&referrer=doctor_listing&page_uid=63c62d9d-5561-41ab-a135-a0d1d0415bde,Practo,researched,locality: Madinaguda; Practo patient stories/reviews 0; listed dentist experience 15 yrs
HYD-DEN-009,dental_clinic,Maurya Dental Specialities,Dr. Ashok,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-ashok-10-dentist?practice_id=1136792&specialization=Dentist&referrer=doctor_listing&page_uid=31e2c752-4d4f-49b7-a9ed-a196882ec2d8,Practo,researched,locality: Manikonda; Practo recommendation 97%; Practo patient stories/reviews 230; listed dentist experience 19 yrs
HYD-DEN-010,dental_clinic,Krutika Dental Clinic,Dr. Keerti D Pratap,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-keerti-dentist-1-dentist?practice_id=1280103&specialization=Dentist&referrer=doctor_listing&page_uid=31e2c752-4d4f-49b7-a9ed-a196882ec2d8,Practo,researched,locality: Chanda Nagar; Practo recommendation 100%; Practo patient stories/reviews 35; listed dentist experience 27 yrs
HYD-DEN-011,dental_clinic,Akshaya Dental And Implant Center,Dr. B.Srikanth,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/b-srikanth-dentist-1?practice_id=2184222&specialization=Dentist&referrer=doctor_listing&page_uid=31e2c752-4d4f-49b7-a9ed-a196882ec2d8,Practo,researched,locality: Manikonda; Practo recommendation 98%; Practo patient stories/reviews 58; listed dentist experience 16 yrs
HYD-DEN-012,dental_clinic,FMS Dental Hospital,Dr. Srikanth Ikkurthi,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/srikanth-ikkurthi-dentist?practice_id=2183926&specialization=Dentist&referrer=doctor_listing&page_uid=31e2c752-4d4f-49b7-a9ed-a196882ec2d8,Practo,researched,locality: Vanasthalipuram; Practo patient stories/reviews 0; listed dentist experience 16 yrs
HYD-DEN-013,dental_clinic,FMS Dental,Dr. Pallavi Sharma,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-pallavi-sharma-dentist-3?practice_id=2183977&specialization=Dentist&referrer=doctor_listing&page_uid=31e2c752-4d4f-49b7-a9ed-a196882ec2d8,Practo,researched,locality: Kompally; Practo recommendation 100%; Practo patient stories/reviews 1; listed dentist experience 17 yrs
HYD-DEN-014,dental_clinic,Advanced Dental Care,Dr. Rashmi,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-rashmi-dentist-12?practice_id=655300&specialization=Dentist&referrer=doctor_listing&page_uid=5924ee1f-8cba-4c32-aa0d-9521274cdb75,Practo,researched,locality: Nizampet; Practo recommendation 98%; Practo patient stories/reviews 165; listed dentist experience 26 yrs
HYD-DEN-015,dental_clinic,Dr. G Chandra Sekhar's Dental Hospital,Dr. G.Chandra Sekhar,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-g-chandra-sekhar-dentist-1?practice_id=691042&specialization=Dentist&referrer=doctor_listing&page_uid=5924ee1f-8cba-4c32-aa0d-9521274cdb75,Practo,researched,locality: Himayat Nagar; Practo recommendation 97%; Practo patient stories/reviews 128; listed dentist experience 36 yrs
HYD-DEN-016,dental_clinic,Tarnaka Dental Clinic,Dr. K. Arjun,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-arjun-dentist-1?practice_id=695516&specialization=Dentist&referrer=doctor_listing&page_uid=5924ee1f-8cba-4c32-aa0d-9521274cdb75,Practo,researched,locality: Tarnaka; Practo recommendation 97%; Practo patient stories/reviews 381; listed dentist experience 29 yrs
HYD-DEN-017,dental_clinic,Just Smile Family Dental Care,Dr. Praveena,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-praveena-6?practice_id=1137722&specialization=Dentist&referrer=doctor_listing&page_uid=5924ee1f-8cba-4c32-aa0d-9521274cdb75,Practo,researched,locality: Kondapur; Practo recommendation 98%; Practo patient stories/reviews 352; listed dentist experience 26 yrs
HYD-DEN-018,dental_clinic,Sharanya Dental,Dr. Sumedha Chithaluru,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/sumedha-chithaluru-dentist?practice_id=1174314&specialization=Dentist&referrer=doctor_listing&page_uid=5924ee1f-8cba-4c32-aa0d-9521274cdb75,Practo,researched,locality: Kondapur; Practo recommendation 94%; Practo patient stories/reviews 16; listed dentist experience 15 yrs
HYD-DEN-019,dental_clinic,M/S Eledent International Digital Dentistry & Imaging Centre,Dr. Charan,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/charan-2-dentist?practice_id=1153300&specialization=Dentist&referrer=doctor_listing&page_uid=5924ee1f-8cba-4c32-aa0d-9521274cdb75,Practo,researched,locality: Kondapur; Practo recommendation 86%; Practo patient stories/reviews 13; listed dentist experience 20 yrs
HYD-DEN-020,dental_clinic,Dentin Oral Expert Clinic,Dr. Suryanarayana Sharma,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/surya-narayana-dentist?practice_id=1273906&specialization=Dentist&referrer=doctor_listing&page_uid=5924ee1f-8cba-4c32-aa0d-9521274cdb75,Practo,researched,locality: Gachibowli; Practo recommendation 99%; Practo patient stories/reviews 416; listed dentist experience 14 yrs
HYD-DEN-021,dental_clinic,Supraja Hospitals,Dr. Preetham,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/dr-preetham-8-dentist-1?practice_id=981750&specialization=Dentist&referrer=doctor_listing&page_uid=5924ee1f-8cba-4c32-aa0d-9521274cdb75,Practo,researched,locality: Nagole; Practo patient stories/reviews 0; listed dentist experience 16 yrs
HYD-DEN-022,dental_clinic,Medicover Hospital,Dr. Tumuluri Naga Sai Chethana,Hyderabad,Hyderabad,,,,,,https://www.practo.com/hyderabad/doctor/tns-chethana-dentist?practice_id=2170277&specialization=Dentist&referrer=doctor_listing&page_uid=5924ee1f-8cba-4c32-aa0d-9521274cdb75,Practo,researched,locality: Financial District; Practo patient stories/reviews 0; listed dentist experience 6 yrs
