bucket,priority,approval_type,template_subject,target_count,status,next_action,published_link_or_evidence
approval_needed,1,Healthcare WhatsApp/call asset — 6-target founder approval lane,Healthcare Digital Readiness Review — formatted WhatsApp creative/caption + call opener,6 route-confirmed approval candidates: Sparsh Hair Skin Dermatology Clinic; Cosmetic Mantra; Morya Diagnostics & Pathology Lab; Skin Care & Laser Centre; Krushna Orthodontic & Dental Clinic; Paranjape Diagnostics,"Approval-ready / gated as of 2026-05-20 20:45 IST; no customer contact, call, public post, spend, website edit, credential change, or destructive action performed","Ask Raj for APPROVE HEALTHCARE WHATSAPP-CALL ASSET / CHANGES / REJECT. If approved, execute only the exact approved PNG/caption/call opener for the six listed routes and log outcomes; stop on any route ambiguity.",Approval card: reports/approval-packs/healthcare-whatsapp-call-asset-20260520-1945/approval-card.md; founder PNG: reports/command-center/2026-05-20-2000/healthcare-whatsapp-creative-founder-approval.png; route sheet: reports/posting-onboarding-readiness/aics-healthcare-wa-call-route-confirmation-2026-05-20-2015.csv; execution checklist: reports/posting-onboarding-readiness/aics-healthcare-wa-call-post-approval-execution-checklist-2026-05-20-2015.md
approval_needed,1,WhatsApp customer reply demo,Sparsh Hair Skin Dermatology Clinic — WhatsApp enquiry board demo image + caption,"1 recipient/conversation: Sparsh Hair Skin Dermatology Clinic, Prayagraj (inbound reply: Ok)",Pending Raj approval — exact demo image + caption posted for APPROVE / CHANGES / REJECT; no customer contact performed,"If Raj replies APPROVE, send only the approved PNG demo image and exact caption to existing Sparsh WhatsApp conversation. Send V3 Starter video only if Raj separately approves the optional video add-on; Growth/Advanced only if specifically selected.",Demo image: reports/sparsh-whatsapp-board-demo-20260519/sparsh-whatsapp-board-demo.png; caption: reports/sparsh-whatsapp-board-demo-20260519/sparsh-whatsapp-reply-caption.txt; V2 approval card: reports/sparsh-whatsapp-board-demo-20260519/approval-card-v2-with-video-backup.md; optional backup video: reports/sparsh-whatsapp-board-demo-20260519/starter-video/starter-clinic-followup-board-demo.mp4; V2 checklist: reports/posting-onboarding-readiness/aics-sparsh-whatsapp-demo-v2-approval-execution-checklist-2026-05-19-2245.md; V3 video backup addendum: reports/sparsh-whatsapp-board-demo-20260519/approval-card-v3-video-backup-addendum.md; V3 manifest: reports/sparsh-whatsapp-board-demo-20260519/videos-v3/manifest.json; V3 checklist: reports/posting-onboarding-readiness/aics-sparsh-whatsapp-demo-v3-video-backup-checklist-2026-05-19-2315.md
approval_needed,1,Diagnostics corrective email,Correction: AICloudStrategist contact details for your lab workflow review,1 recipient: The Diagnostic Clinical Laboratory <diagnostic.official@gmail.com>,Prepared / pending Raj approval — no customer correction sent,"Send the rendered approval wrapper to Raj personal email for APPROVE CORRECTION / CHANGES / REJECT. Only after explicit approval, send the correction to The Diagnostic Clinical Laboratory via aics_mail_send_guard.py from contact@aicloudstrategist.com.",Approval wrapper: reports/approval-packs/diagnostics-correction-20260519-2330/raj-personal-approval-email.html; send manifest: reports/approval-packs/diagnostics-correction-20260519-2330/raj-approval-send-manifest.json; approval card: reports/approval-packs/diagnostics-correction-20260519-2330/approval-card.md; customer HTML: reports/approval-packs/diagnostics-correction-20260519-2330/the-diagnostic-clinical-laboratory-correction-email.html; checklist: reports/approval-packs/diagnostics-correction-20260519-2330/readiness-checklist.md
approval_needed,1,Website About page update,/about brand/presence polish,1 public website page,Pending Raj approval — founder review card sent; 18:30 queue consolidation confirmed no duplicate card needed,"If APPROVE, publish prepared /about page polish diff and run QA; if CHANGES, revise copy; if REJECT, keep local only",Local diff ready: repos/support-aicloudstrategist.github.io/about.html
approval_needed,1,Dental enquiry flow FAQ / CTA block,Dental High-Value Enquiry Flow Check FAQ + CTA website/proposal block,0 recipients; reusable landing-page/proposal block paired with the dental offer lane,Prepared; no public posting; no customer contact; pending Raj approval before any website/proposal/email use,"If dental lane remains priority, convert to noindex website preview or include in Raj personal approval wrapper for exact website/proposal placement. Do not publish/send until Raj approves exact usage.",Asset: reports/website-drafts/aics-dental-enquiry-flow-faq-approval-ready-2026-05-20-1015.md; outcome: reports/aics-ops-outcomes/aics-aggressive-continuation-20260520-1015.md
approval_needed,1,Dental implant/aligner premium email outreach,"Free 20-minute check: are dental implant and aligner enquiries leaking between calls, WhatsApp and follow-ups?",2 email-ready prospects from AICS-HLQ-20260520-0830: Smilex Dental Implant & Aligner Centers; Dr Kadu's Orthodontic & Dental Clinic,Prepared / pending Raj approval — no prospect contact performed,"Send the rendered approval wrapper to Raj personal email for APPROVE DENTAL EMAILS / CHANGES / REJECT. Only after explicit approval, send individually via aics_mail_send_guard.py from contact@ with inline scorecard asset.",Pack: reports/approval-packs/dental-lead-capture-outreach-20260520-0945/; Raj wrapper: raj-personal-approval-email.html; send manifest: post-approval-send-manifest.csv; dry-run evidence: reports/outbound-mail/guarded-dry-run-dental-lead-capture-20260520-0945.json
approval_needed,1,Dental lane approval/conversion readiness pack,Dental High-Value Enquiry Flow Check — approval order + post-approval execution checklist,0 external recipients; consolidates 2 prepared dental email prospects plus reusable FAQ/offer assets for Raj approval sequencing,Queue advanced 2026-05-20 10:30 IST; no customer contact/public posting performed; pending Raj approval for any external use,"If approval-routing is available, send rendered dental approval wrapper to Raj personal email for APPROVE DENTAL EMAILS / CHANGES / REJECT. If not, build noindex dental landing-page preview package without publishing.",Readiness pack: reports/posting-onboarding-readiness/aics-dental-lane-approval-and-conversion-readiness-2026-05-20-1030.md
approval_needed,1,Diagnostics/pathology email outreach,Template 1: Report delivery/enquiry leakage; Template 2: Owner visibility/backup readiness,3 verified email-ready diagnostics/pathology recipients + 1 excluded phone-only prospect,Pending Raj approval — rendered production approval email sent; no customer/prospect contact performed,"Wait for Raj APPROVE / CHANGES / REJECT. If APPROVE, execute only the prepared post-approval send manifest via aics_mail_send_guard.py from contact@aicloudstrategist.com; do not contact the excluded phone-only prospect.",Approval email sent via guarded sender report: reports/outbound-mail/guarded-send-20260519-213101.json; Queue: reports/crm-ops/aics-diagnostics-pathology-prospect-queue-2026-05-19-2100.csv; Approval pack: reports/approval-packs/aics-diagnostics-pathology-raj-email-approval-pack-2026-05-19-2100.html; Post-approval send checklist: reports/posting-onboarding-readiness/aics-diagnostics-pathology-post-approval-send-checklist-2026-05-19-2145.md; Send manifest: reports/posting-onboarding-readiness/aics-diagnostics-pathology-post-approval-send-manifest-2026-05-19-2145.csv
approval_needed,1,Healthcare lab checklist email outreach,Free 15-minute checklist: lab report-delivery and enquiry leakage review,2 email-ready prospects from AICS-HLQ-20260520-0830: V-Care Path Lab; G1 Pathology Lab,Prepared / pending Raj approval — no prospect contact performed,"Send the rendered approval wrapper to Raj personal email for APPROVE LAB EMAILS / CHANGES / REJECT. Only after explicit approval, send individually via aics_mail_send_guard.py from contact@ with checklist PDF and inline scorecard asset.",Pack: reports/approval-packs/healthcare-lab-checklist-outreach-20260520-0915/; Raj wrapper: raj-personal-approval-email.html; send manifest: post-approval-send-manifest.csv; dry-run evidence: reports/outbound-mail/guarded-send-20260520-091820.json
approval_needed,1,Website Free Review trust/conversion polish,/free-business-review What happens next trust block + safety FAQ,1 public website page,"Approval-ready/gated — no website publish, public post, customer contact, or external send performed","Send founder review card for APPROVE FREE REVIEW TRUST POLISH / CHANGES / REJECT. If approved, apply prepared diff to /free-business-review, publish, and run QA; otherwise keep internal only.",Pack: reports/approval-packs/free-review-trust-polish-20260520-1345/; implementation source: reports/website-drafts/free-review-trust-polish-implementation-20260520-1330/; validation refreshed 2026-05-20 14:00 IST
