row_id,vertical,business_name,owner_name,city,metro,website,google_rating,google_reviews_count,whatsapp_number,instagram_handle,source_url,source_platform,status,notes
MUM-001,Dental clinic,Smile Studio Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/smile-studio-worli-1,Practo,researched,Worli; Practo listing; 2 doctors; multi-speciality clinic.
MUM-002,Dental clinic,London Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/london-dental-clinic-worli,Practo,researched,Worli; Practo listing; 2 doctors; multi-speciality clinic.
MUM-003,Dental clinic,Kenia Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/kenia-dental-clinic-santacruz,Practo,researched,Santacruz; Practo listing; dental clinic; 1 doctor.
MUM-004,Dental clinic,Smile Care Dental Clinic,Dr. Amit Gupta,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/smile-care-dental-clinic-dattani-park-kandivli-by-dr-amit-gupta-kandivali-east,Practo,researched,Kandivali East; Practo implant clinic result; quality dentistry positioning.
MUM-005,Dental clinic,Dr. Mehtaa's Dental Clinic,Dr. Ankit H Mehta / Dr. Nidhi Mehta,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/dr-mehtaa-s-dental-clinic-santacruz-west,Practo,researched,"Santacruz West; Practo lists smile makeovers, cosmetic treatment and RCT services."
MUM-006,Dental clinic,Dazzle Dental,,Mumbai,Mumbai,https://dazzledentalclinic.com/,,,,,https://www.practo.com/Mumbai/clinic/dazzle-dental-kemps-corner,Practo,researched,"Kemps Corner; Practo result describes top-rated clinic, digital dentistry and in-house laboratory."
MUM-007,Dental clinic,Smiling Mumbai Dental Clinics,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/smiling-mumbai-dental-clinics-malad-east,Practo,researched,Malad East; Practo listing; 6 doctors; multi-speciality clinic.
MUM-008,Dental clinic,Sure Smile Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/sure-smile-clinic-khar-west,Practo,researched,Khar West; Practo listing; modern-age family dental practice positioning.
MUM-009,Dental clinic,Sai Dental Clinic,,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/sai-dental-clinic-bhayander-west-1,Practo,researched,Bhayandar West; Practo listing; 7 doctors.
MUM-010,Dental clinic,Dr. Mitesh Gandhi Dental Clinic,Dr. Mitesh Gandhi,Mumbai,Mumbai,,,,,,https://www.practo.com/mumbai/clinic/dr-mitesh-clinic-kandivali-west,Practo,researched,Kandivali West; Practo listing; 1 doctor.
MUM-011,Dental clinic,Cosmos Dental Clinic,Dr. Chintan Gandhi,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/cosmos-dental-clinic,Lybrate,researched,Lybrate listing; doctor name visible in search result; appointment/contact profile.
MUM-012,Dental clinic,Dr Poonam's Dental Care,Dr. Poonam Desai,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/dr-poonam-s-dental-care,Lybrate,researched,Lybrate listing; doctor name visible in search result; appointment/contact profile.
MUM-013,Dental clinic,Mydentist Link Road,Dr. Dimple Bangera,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/mydentist-mumbai,Lybrate,researched,Lybrate listing for Link Road; multi-location brand signal.
MUM-014,Dental clinic,Shree Dental Clinic,Dr. Priya Mourya,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/shree-dental-clinic-lal-chikki,Lybrate,researched,Lybrate listing; doctor name visible in result.
MUM-015,Dental clinic,Shree Ramcharan Yadav Charitable Trust Dental Clinic,Dr. Ajay P. Yadav,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinic/shree-ramcharan-yadav-charitable-trust-dental-clinic-mumbai,Lybrate,researched,Saki Naka; Lybrate listing; charitable trust clinic signal.
MUM-016,Dental clinic,Dr. Akshay's DentAvenue,,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinics/dental-clinics,Lybrate,researched,Chembur; Lybrate Mumbai dental clinics page shows 4.3 rating and 3 doctors.
MUM-017,Dental clinic,Evershine Dental,,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinics/dental-clinics,Lybrate,researched,Ghatkopar East; Lybrate Mumbai dental clinics page shows 4.3 rating and 2 doctors.
MUM-018,Dental clinic,Hai Dent Cosmo LLP,,Mumbai,Mumbai,,,,,,https://www.lybrate.com/mumbai/clinics/dental-clinics,Lybrate,researched,Kemps Corner; Lybrate Mumbai dental clinics page shows 4.3 rating and 6 doctors.
