source_type,source_or_alternative,public_url,reachability_2026_09_07,buyer_language_supported,aics_use,claim_boundary
"Public policy fact sheet","CMS Interoperability and Prior Authorization final rule fact sheet","https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-and-prior-authorization-final-rule-cms-0057-f","HTTP 200","prior authorization; payer API; provider burden; patient access","Use as a source-map anchor for why prior-auth ownership and evidence freshness matter","Not legal compliance billing coding payer or official implementation advice"
"Professional association resource","AMA prior authorization practice resources","https://www.ama-assn.org/practice-management/prior-authorization/prior-authorization-practice-resources","HTTP 200","prior authorization burden; practice resources; physician workflow","Use as buyer-language support for practice pain and owner-handoff questions","Not AMA endorsement clinical advice legal advice or measured outcome proof"
"Professional association PDF","AMA prior authorization reform progress update","https://www.ama-assn.org/system/files/prior-authorization-reform-progress-update.pdf","HTTP 200","prior authorization reform; delay; administrative burden","Use as public context for why buyers search prior-auth delay and automation","Not reform success claim policy advice or official AICS credential"
"Vendor alternative","Waystar prior authorization","https://www.waystar.com/solutions/prior-authorization/","HTTP 200","prior authorization software; RCM workflow; authorization automation","Compare as known RCM/prior-auth platform route before AICS owner-evidence review","No partnership endorsement ranking replacement or performance claim"
"Vendor alternative","Availity prior authorizations","https://www.availity.com/solutions/prior-authorizations","HTTP 200","multi-payer portal; prior authorization; provider portal","Compare as clearinghouse/provider-portal route with owner evidence required around source and handoff","No partnership endorsement ranking replacement or performance claim"
"Vendor alternative","Notable healthcare AI platform","https://www.notablehealth.com/","HTTP 200","healthcare AI platform; workflow automation; patient access","Compare as healthcare AI/workflow route with human-review and claim-boundary gates","No partnership endorsement ranking replacement or performance claim"
"Vendor alternative","Rhyme","https://www.rhyme.com/","HTTP 200","prior authorization; healthcare automation; payer/provider workflow","Compare as market alternative while positioning AICS as evidence layer","No partnership endorsement ranking replacement or performance claim"
"Unusable sampled URL","CMS initiative URL guess","https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/cms-interoperability-and-prior-authorization-final-rule-cms-0057-f","HTTP 404","N/A","Disclose as failed sampled URL and do not use as source proof","Not used as evidence"
"Unusable sampled URL","MGMA prior authorization URL guess","https://www.mgma.com/practice-resources/prior-authorization","HTTP 404","N/A","Disclose as failed sampled URL and do not use as source proof","Not used as evidence"
"Unusable sampled URL","Phreesia prior authorization URL guess","https://www.phreesia.com/solutions/prior-authorization/","HTTP 404","N/A","Disclose as failed sampled URL and do not use as source proof","Not used as evidence"
