row_id,vertical,business_name,owner_name,city,metro,website,google_rating,google_reviews_count,whatsapp_number,instagram_handle,source_url,source_platform,status,notes
DL-NCR-001,dental_clinic,S R Dental Implants Braces Centre,Dr. Sachin Bansal,Pitampura,Delhi NCR,,,,,,https://www.practo.com/delhi/doctor/dr-sachin-bansal-dentist?practice_id=711977&specialization=Dentist&referrer=doctor_listing&page_uid=9ce5db29-23f9-4ff7-910c-72a3469f9dc5,Practo,researched,Practo dentist listing; locality Pitampura; practice_id 711977; strong intent signal for appointment-led clinic lead.
DL-NCR-002,dental_clinic,City Dental,Dr. Kapil Garg,Pitampura,Delhi NCR,,,,,,https://www.practo.com/delhi/doctor/kapil-garg-dentist?practice_id=880437&specialization=Dentist&referrer=doctor_listing&page_uid=9ce5db29-23f9-4ff7-910c-72a3469f9dc5,Practo,researched,Practo dentist listing; locality Pitampura; practice_id 880437; strong intent signal for appointment-led clinic lead.
DL-NCR-003,dental_clinic,Dr Vedprakash Memorial Dental Clinic,Dr. Akshay Midha,Moti Nagar,Delhi NCR,,,,,,https://www.practo.com/delhi/doctor/dr-akshay-midha-1?practice_id=694381&specialization=Dentist&referrer=doctor_listing&page_uid=9ce5db29-23f9-4ff7-910c-72a3469f9dc5,Practo,researched,Practo dentist listing; locality Moti Nagar; practice_id 694381; strong intent signal for appointment-led clinic lead.
DL-NCR-004,dental_clinic,Dr. Sourabh Nagpal Dental Practice,Dr. Sourabh Nagpal,Vasant Vihar,Delhi NCR,,,,,,https://www.practo.com/delhi/doctor/dr-sourabh-nagpal-dentist-dentist?practice_id=666300&specialization=Dentist&referrer=doctor_listing&page_uid=9ce5db29-23f9-4ff7-910c-72a3469f9dc5,Practo,researched,Practo dentist listing; locality Vasant Vihar; practice_id 666300; strong intent signal for appointment-led clinic lead.
DL-NCR-005,dental_clinic,Dentistry Futura Implant Centre,Dr. Pankaj Rooprai,Dwarka,Delhi NCR,,,,,,https://www.practo.com/delhi/doctor/dr-pankaj-rooprai-dentist?practice_id=651004&specialization=Dentist&referrer=doctor_listing&page_uid=9ce5db29-23f9-4ff7-910c-72a3469f9dc5,Practo,researched,Practo dentist listing; locality Dwarka; practice_id 651004; strong intent signal for appointment-led clinic lead.
DL-NCR-006,dental_clinic,Marya S Dental And Implant Centre,Dr. Geetanjali Marya,Greater Kailash Part 2,Delhi NCR,,,,,,https://www.practo.com/delhi/doctor/dr-geetanjal-marya-dentist?practice_id=761075&specialization=Dentist&referrer=doctor_listing&page_uid=9ce5db29-23f9-4ff7-910c-72a3469f9dc5,Practo,researched,Practo dentist listing; locality Greater Kailash Part 2; practice_id 761075; strong intent signal for appointment-led clinic lead.
DL-NCR-007,dental_clinic,Tirupati Dental,Dr. Ajay Kumar Singh,Dwarka Sector 11,Delhi NCR,,,,,,https://www.practo.com/delhi/doctor/dr-ajay-singh-rathore-dentist?practice_id=1297433&specialization=Dentist&referrer=doctor_listing&page_uid=9ce5db29-23f9-4ff7-910c-72a3469f9dc5,Practo,researched,Practo dentist listing; locality Dwarka Sector 11; practice_id 1297433; strong intent signal for appointment-led clinic lead.
DL-NCR-008,dental_clinic,Dr. Amit Baranwal Dental Practice,Dr. Amit Baranwal,Dwarka Sector 6,Delhi NCR,,,,,,https://www.practo.com/delhi/doctor/dr-amit-baranwal-dentist-1?practice_id=1220017&specialization=Dentist&referrer=doctor_listing&page_uid=9ce5db29-23f9-4ff7-910c-72a3469f9dc5,Practo,researched,Practo dentist listing; locality Dwarka Sector 6; practice_id 1220017; strong intent signal for appointment-led clinic lead.
DL-NCR-009,dental_clinic,Dentpro Dental Studio,Dr. Krupali Kakkad,Sector 75,Delhi NCR,,,,,,https://www.practo.com/noida/doctor/krupali-kakkad-dentist?practice_id=2080843&specialization=Dentist&referrer=doctor_listing&page_uid=4f3306b6-24ef-4387-a9bd-20a981e60ff6,Practo,researched,Practo dentist listing; locality Sector 75; practice_id 2080843; strong intent signal for appointment-led clinic lead.
DL-NCR-010,dental_clinic,Impressions Dental Care,Dr. Nitin Gupta,Sector 61,Delhi NCR,,,,,,https://www.practo.com/noida/doctor/dr-nitin-gupta-1-dentist-1?practice_id=750258&specialization=Dentist&referrer=doctor_listing&page_uid=4f3306b6-24ef-4387-a9bd-20a981e60ff6,Practo,researched,Practo dentist listing; locality Sector 61; practice_id 750258; strong intent signal for appointment-led clinic lead.
DL-NCR-011,dental_clinic,Confidental Greater,Dr. Shweta Sapra,Sector 50,Delhi NCR,,,,,,https://www.practo.com/noida/doctor/dr-shweta-sapra-dentist?practice_id=1279521&specialization=Dentist&referrer=doctor_listing&page_uid=4f3306b6-24ef-4387-a9bd-20a981e60ff6,Practo,researched,Practo dentist listing; locality Sector 50; practice_id 1279521; strong intent signal for appointment-led clinic lead.
DL-NCR-012,dental_clinic,Dr Nishtha Glodha S Bouquet Dental,Dr. Nishtha Glodha,Sector 132,Delhi NCR,,,,,,https://www.practo.com/noida/doctor/nishtha-glodha-dentist?practice_id=1464967&specialization=Dentist&referrer=doctor_listing&page_uid=4f3306b6-24ef-4387-a9bd-20a981e60ff6,Practo,researched,Practo dentist listing; locality Sector 132; practice_id 1464967; strong intent signal for appointment-led clinic lead.
DL-NCR-013,dental_clinic,Vinayak Hospital,Dr. Ankit Gupta,Sector 27,Delhi NCR,,,,,,https://www.practo.com/noida/doctor/ankit-gupta-3-general-physician?practice_id=799221&specialization=Dentist&referrer=doctor_listing&page_uid=4f3306b6-24ef-4387-a9bd-20a981e60ff6,Practo,researched,Practo dentist listing; locality Sector 27; practice_id 799221; strong intent signal for appointment-led clinic lead.
DL-NCR-014,dental_clinic,Dr Malik S Dental Clinic And Orthodontic Center,Dr. Archana,Sector 12,Delhi NCR,,,,,,https://www.practo.com/noida/doctor/dr-archana-68-dentist-1?practice_id=1010252&specialization=Dentist&referrer=doctor_listing&page_uid=4f3306b6-24ef-4387-a9bd-20a981e60ff6,Practo,researched,Practo dentist listing; locality Sector 12; practice_id 1010252; strong intent signal for appointment-led clinic lead.
DL-NCR-015,dental_clinic,Dr Yamini S Dental Studio,Dr. Yamini Shashikant Sharma,Sector 137,Delhi NCR,,,,,,https://www.practo.com/noida/doctor/yamini-shashikant-sharma-dentist?practice_id=1691745&specialization=Dentist&referrer=doctor_listing&page_uid=4f3306b6-24ef-4387-a9bd-20a981e60ff6,Practo,researched,Practo dentist listing; locality Sector 137; practice_id 1691745; strong intent signal for appointment-led clinic lead.
DL-NCR-016,dental_clinic,Pihu Smile Multispeciality Dental And Critical Care Centre,Dr. Himadri Sharma,Sector 121,Delhi NCR,,,,,,https://www.practo.com/noida/doctor/himadri-sharma-dentist?practice_id=1382551&specialization=Dentist&referrer=doctor_listing&page_uid=4f3306b6-24ef-4387-a9bd-20a981e60ff6,Practo,researched,Practo dentist listing; locality Sector 121; practice_id 1382551; strong intent signal for appointment-led clinic lead.
DL-NCR-017,dental_clinic,Basil Dental Clinic,Dr. Shilpi Gupta,Gurgaon Sector 82,Delhi NCR,,,,,,https://www.practo.com/gurgaon/doctor/shilpi-gupta-dentist?practice_id=1162561&specialization=Dentist&referrer=doctor_listing&page_uid=7c22ed7e-780b-4e3a-96a5-8a5cafdfcd9b,Practo,researched,Practo dentist listing; locality Gurgaon Sector 82; practice_id 1162561; strong intent signal for appointment-led clinic lead.
DL-NCR-018,dental_clinic,Rohini Dental Care,Dr. Amit Chhillar,Gurgaon Sector 31,Delhi NCR,,,,,,https://www.practo.com/gurgaon/doctor/dr-amit-chhillar-dentist?practice_id=689658&specialization=Dentist&referrer=doctor_listing&page_uid=7c22ed7e-780b-4e3a-96a5-8a5cafdfcd9b,Practo,researched,Practo dentist listing; locality Gurgaon Sector 31; practice_id 689658; strong intent signal for appointment-led clinic lead.
DL-NCR-019,dental_clinic,Aesthetica Dentals,Dr. Shweta Yadav,Sohna Road,Delhi NCR,,,,,,https://www.practo.com/gurgaon/doctor/dr-shweta-yadav-dentist-1?practice_id=1159530&specialization=Dentist&referrer=doctor_listing&page_uid=7c22ed7e-780b-4e3a-96a5-8a5cafdfcd9b,Practo,researched,Practo dentist listing; locality Sohna Road; practice_id 1159530; strong intent signal for appointment-led clinic lead.
