prospect_id,metro,vertical,business_name,area,whatsapp_number,phone,website,source_platform,source_url,owner_name,fit_score,fit_reason,risk_notes,status,verified_at
BLR-V-001,Bengaluru,dental,Apollo Dental Clinic Koramangala,Koramangala,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/koramangala/our-clinics/apollo-dental-clinic-in-koramangala,,6,Branch page and WhatsApp link verified; high-intent dental locality and appointment funnel fit.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-002,Bengaluru,dental,Apollo Dental Clinic Bannerghatta,Bannerghatta,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/bannerghatta/our-clinics/apollo-dental-clinic-bannerghatta,,6,Branch page and WhatsApp link verified; residential catchment with online appointment opportunity.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-003,Bengaluru,dental,Apollo Dental Clinic Bellandur,Bellandur,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/bellandur/our-clinics/apollo-dental-clinic-in-bellandur,,6,Branch page and WhatsApp link verified; IT corridor catchment and lead-response automation fit.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-004,Bengaluru,dental,Apollo Dental Clinic HSR Layout,HSR Layout,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/hsr-layout/our-clinics/apollo-dental-clinic-in-hsr-layout,,6,Branch page and WhatsApp link verified; high-income residential/tech locality.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-005,Bengaluru,dental,Apollo Clinic Indira Nagar Dental,Indira Nagar,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/indira-nagar/our-clinics/apollo-clinic-indira-nagar,,6,Branch page and WhatsApp link verified; premium locality and trust-led conversion fit.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-006,Bengaluru,dental,Apollo Dental Clinic JP Nagar,JP Nagar,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/jp-nagar/our-clinics/apollo-dental-clinic-in-jp-nagar,,6,Branch page and WhatsApp link verified; family/residential catchment.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-007,Bengaluru,dental,Apollo Dental Clinic Whitefield,Whitefield,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/whitefield/our-clinics/apollo-dental-clinic-in-whitefield,,6,Branch page and WhatsApp link verified; IT corridor with high search/booking intent.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-008,Bengaluru,dental,Apollo Dental Clinic Marathahalli,Marathahalli,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/marathahalli/our-clinics/apollo-dental-clinic-in-marathahalli,,6,Branch page and WhatsApp link verified; IT corridor and appointment follow-up fit.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-009,Bengaluru,dental,Apollo Dental Clinic Jayanagar,Jayanagar,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/jayanagar/our-clinics/apollo-dental-clinic-in-jayanagar,,6,Branch page and WhatsApp link verified; established residential/commercial locality.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-010,Bengaluru,dental,Apollo Dental Clinic Hebbal,Hebbal,+91 70660 28645,+91 70660 28645,https://apollodental.in,Website,https://apollodental.in/bengaluru/hebbal/our-clinics/apollo-dental-clinic-in-hebbal,,6,Branch page and WhatsApp link verified; north Bengaluru catchment.,National chain branch; lower priority than owner-led clinic.,verified,2026-05-24T17:20:00+05:30
BLR-V-011,Bengaluru,diagnostic_lab,Aarthi Scans and Labs Indiranagar,Indiranagar,+91 75500 75500,+91 75500 75500,https://aarthiscan.com,Website,https://aarthiscan.com/branches/bengaluru/indiranagar/,,6,Branch page and WhatsApp link verified; diagnostic/lab demand in premium locality.,Diagnostics chain branch; lower priority than owner-led lab.,verified,2026-05-24T17:20:00+05:30
BLR-V-012,Bengaluru,diagnostic_lab,Aarthi Scans and Labs Jayanagar,Jayanagar,+91 75500 75500,+91 75500 75500,https://aarthiscan.com,Website,https://aarthiscan.com/branches/bengaluru/jayanagar/,,6,Branch page and WhatsApp link verified; dense residential market with test booking use case.,Diagnostics chain branch; lower priority than owner-led lab.,verified,2026-05-24T17:20:00+05:30
BLR-V-013,Bengaluru,diagnostic_lab,Aarthi Scans and Labs Hebbal,Hebbal,+91 75500 75500,+91 75500 75500,https://aarthiscan.com,Website,https://aarthiscan.com/branches/bengaluru/hebbal/,,6,Branch page and WhatsApp link verified; north Bengaluru diagnostic demand.,Diagnostics chain branch; lower priority than owner-led lab.,verified,2026-05-24T17:20:00+05:30
BLR-V-014,Bengaluru,diagnostic_lab,Aarthi Scans and Labs Marathahalli,Marathahalli,+91 75500 75500,+91 75500 75500,https://aarthiscan.com,Website,https://aarthiscan.com/branches/bengaluru/marathahalli/,,6,Branch page and WhatsApp link verified; IT corridor and home/scan booking opportunity.,Diagnostics chain branch; lower priority than owner-led lab.,verified,2026-05-24T17:20:00+05:30
BLR-V-015,Bengaluru,diagnostic_lab,Aarthi Scans and Labs Rajajinagar,Rajajinagar,+91 75500 75500,+91 75500 75500,https://aarthiscan.com,Website,https://aarthiscan.com/branches/bengaluru/rajajinagar/,,6,Branch page and WhatsApp link verified; west Bengaluru residential market.,Diagnostics chain branch; lower priority than owner-led lab.,verified,2026-05-24T17:20:00+05:30
BLR-V-016,Bengaluru,diagnostic_lab,Prima Diagnostics Whitefield,Whitefield,+91 98448 82200,+91 98448 82200,https://primadiagnostics.com,Website,https://primadiagnostics.com/best-diagnostic-center-in-whitefield-bangalore-prima-tests-prices-and-home-collection/,,8,Local Bengaluru diagnostic brand; page and WhatsApp link verified; home collection and package booking automation fit.,Appears multi-centre within Bengaluru; not owner name verified.,verified,2026-05-24T17:20:00+05:30
