prospect_id,metro,vertical,business_name,area,owner_name,contact_channels,phone,email,website,source_platform,source_url,fit_score,fit_reason,risk_notes,status,verified_at,tier,partner_type
REF-BEN-001,Bengaluru,referral_partner,"Soundarya & Co., Chartered Accountants",Bengaluru,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://soundaryaandco.com/,official website/public listing,https://soundaryaandco.com/,80,"Founder CA Soundarya S. publicly named; Bangalore CA firm serving taxation, GST, startup advisory, audit and compliance clients who may need cloud/automation/security help.",Contact details not surfaced in fetched extract; verify before outreach.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-BEN-002,Bengaluru,referral_partner,Namratha & Co.,Bengaluru - Horamavu,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://namrathaandco.com/,official website/public listing,https://namrathaandco.com/,80,"Founder/sole proprietor CA Namratha Aakulu Krishnamurthy publicly named; serves individuals, startups, freelancers and SMEs with AI-enabled accounting/compliance.",Small sole-proprietor profile; ideal referral partner but limited public contact in extract.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-BEN-003,Bengaluru,referral_partner,Pranav & Mahesh,Bengaluru - BTM Layout / Residency Road,See source page: publicly named founder/partner in fit reason,Email + phone,+91 98868 88667 / +91 90369 38991,mahesh@pranavandmahesh.com; pranav@pranavandmahesh.com,https://www.pranavandmahesh.com/,official website/public listing,https://www.pranavandmahesh.com/,80,"Founders/partners CA Pranav S S and CA Mahesh Reddy publicly named; offers business advisory, consultancy and virtual CFO for SMB clients.",Good public contact; validate current offices before outreach.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-BEN-004,Bengaluru,referral_partner,Prakash N & Associates,Bengaluru,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://pnassociates.in/,official website/public listing,https://pnassociates.in/,80,"Founder CA Prakash Nagaraju publicly named; partner-led CA firm serving startups, family businesses and corporates across audit/tax/advisory.",Contact routed through website booking page; no direct email in fetched extract.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-BEN-005,Bengaluru,referral_partner,EBS & Co.,Bengaluru,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://ebsandco.in/our-team/,official website/public listing,https://ebsandco.in/our-team/,80,"Co-founders/partners CA V. Easwar and CA M. Bharath publicly named; handles audit, tax, outsourcing, FEMA/RBI, GST and fractional CFO services.",Likely larger than solo practice but not Big 4; verify team size before outreach.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-BEN-006,Bengaluru,referral_partner,Pragma Law & Policy,Bengaluru,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://www.pragmalaw.in/our-team.html,official website/public listing,https://www.pragmalaw.in/our-team.html,80,"Partner Rekha Chakradhar publicly named; boutique law and policy firm with corporate, compliance, POSH, taxation and labour-law focus.",Only one partner shown in fetched team extract; verify active practice scope.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-BEN-007,Bengaluru,referral_partner,Juris Arena,Bengaluru,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://jurisarena.in/,official website/public listing,https://jurisarena.in/,80,Partners Soumitra Banerjee and Anjali Haridas publicly named in recognitions; boutique Bengaluru firm for corporate/commercial and finance work.,Recognized boutique; may serve higher-value clients but still partner-led.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-BEN-008,Bengaluru,referral_partner,Shastri Law Associates,Bengaluru,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://www.shastrilaw.com/,official website/public listing,https://www.shastrilaw.com/,80,"Boutique Bengaluru law firm founded by Senior Advocate C.N. Sathyanarayana Shastri; handles corporate, banking, civil, labour and family law.",Founder name from public search snippet; fetched page confirms practice but not founder in extract.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-BEN-009,Bengaluru,referral_partner,GameChanger Law Advisors,Bengaluru,See source page: publicly named founder/partner in fit reason,Website contact form / LinkedIn,,,https://www.gamechangerlaw.com/team,official website/public listing,https://www.gamechangerlaw.com/team,80,"Founder & Managing Partner Amrut Joshi publicly named; boutique law firm focused on VC, deeptech, healthcare/medtech, social enterprise and startups.","Well-known boutique; strong startup ecosystem fit, but may be selective.",verified_public_source_named_partner,2026-05-26,referral,Law
REF-BEN-010,Bengaluru,referral_partner,BC Shetty & Co.,Bengaluru,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://bcshettyco.com/,official website/public listing,https://bcshettyco.com/,80,"B.C. Shetty-branded Bangalore CA firm; public page positions it as CA firm helping owners with accounting, compliance, audit and tax planning.",Owner/partner name inferred from firm name; source extract does not show individual profile.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-PUN-011,Pune,referral_partner,A N Gawade & Co LLP (ANGCA),Pune - Baner,See source page: publicly named founder/partner in fit reason,Email + phone,+91-9545643474,ang@angca.com,https://angca.com/about/,official website/public listing,https://angca.com/about/,80,"Founder & Managing Partner CA Anand Gawade publicly named; CA firm serving accounting, audit, GST, startup, tax and outsourcing clients.",Multi-partner firm but not Big 4; verify referral appetite.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-PUN-012,Pune,referral_partner,CA Akshay Sane & Associates,Pune,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://akshaysane.com/,official website/public listing,https://akshaysane.com/,80,"Founded in 2011 by CA Akshay Sane; serves startups, MSMEs and corporates for GST, accounting, taxation, audits and company registrations.",No direct contact in fetched extract.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-PUN-013,Pune,referral_partner,Sachin Ranbhise & Associates,Pune,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://digitalsolutionpune.com/srafinal/key-people.php,official website/public listing,https://digitalsolutionpune.com/srafinal/key-people.php,80,"Founder and Managing Partner CA Sachin Ranbhise publicly named; expertise includes corporate advisory, outsourcing, internal audit and strategic finance.",Source appears to be a development/staging domain; verify official domain before outreach.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-PUN-014,Pune,referral_partner,Ahuja Valecha & Associates LLP (AVA),Pune,See source page: publicly named founder/partner in fit reason,Website contact form / phone after verification,403-904-3623,,https://avanetwork.in/pune/,official website/public listing,https://avanetwork.in/pune/,80,"Co-founded by Lalit Valecha and Deepak Ahuja; Pune-based CA firm with assurance, tax, due diligence, advisory and pan-India network.",Page contains template-looking footer details; verify current direct contact.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-PUN-015,Pune,referral_partner,MJ & Partners,Pune - Erandwane,See source page: publicly named founder/partner in fit reason,Email + phone,020-25420180,info@mjpartners.co.in,https://mjpartners.co.in/our-team/,official website/public listing,https://mjpartners.co.in/our-team/,80,Founder and Managing Partner Monish Jain publicly named; Pune multi-service law firm serving individuals and businesses.,Good public contact; practice includes many legal areas.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-PUN-016,Pune,referral_partner,Katariya & Associates,Pune - Aundh,See source page: publicly named founder/partner in fit reason,Website contact form,,,http://katariyaassociates.com/,official website/public listing,http://katariyaassociates.com/,80,"Founder Mr. Vishal Katariya publicly named; boutique IP law firm serving startups and industry on patents, trademarks, designs and commercialization.",Fetched phone truncated; use website contact form.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-PUN-017,Pune,referral_partner,Reddy & Reddy Law Firm,Pune,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://reddyandreddy.law/meet-the-team/,official website/public listing,https://reddyandreddy.law/meet-the-team/,80,"Co-founder and partner Akanksha Reddy publicly named; corporate law practice supports companies with contracts, compliance and transactions.",Fetched page names co-founder but not full contact details.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-PUN-018,Pune,referral_partner,Rishabh Gandhi and Advocates,Pune,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://rgaa.co.in/,official website/public listing,https://rgaa.co.in/,80,"Named founder implied by firm and public site; multidisciplinary Pune law firm for corporate, commercial, litigation, arbitration and IP services.",Fetched page confirms firm/location but not individual profile; verify named lead before outreach.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-PUN-019,Pune,referral_partner,LegaLogic Consulting,Pune,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://legalogic.com/,official website/public listing,https://legalogic.com/,80,Pune legal/business requirements firm; public site highlights team and founder-led entrepreneurial recognition (MCCIA award).,Fetched extract did not expose founder name; verify owner/partner from team page before outreach.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-PUN-020,Pune,referral_partner,MJS & Co LLP Chartered Accountants,Pune,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://mjsco.in/,official website/public listing,https://mjsco.in/,80,"Pune CA firm with 40+ professionals serving accounting, auditing, tax, incorporation, compliance, payroll and healthcare/MNC clients.",Fetched extract lacks named partner; verify partner owner before outreach.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-MUM-021,Mumbai,referral_partner,Urvashi Maharshi & Co. (UMCO),Mumbai,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://umco.co.in/,official website/public listing,https://umco.co.in/,80,"Founder CA Urvashi D. Maharshi publicly named; Mumbai CA firm for audit, direct/indirect tax, accounts outsourcing and management consultancy.",No direct contact in fetched extract.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-MUM-022,Mumbai,referral_partner,N. K. Sukhadia & Co.,Mumbai,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://nksukhadiaandco.com/,official website/public listing,https://nksukhadiaandco.com/,80,Founder CA Nirav Sukhadia publicly named in public search snippet; boutique Mumbai CA firm established in 2004.,Fetch extractor only returned title; verify details on page before outreach.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-MUM-023,Mumbai,referral_partner,Vridhi & Associates,Mumbai,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://cavridhi.com/,official website/public listing,https://cavridhi.com/,80,Proprietor CA Vridhi Dalal publicly named in public search snippet; Mumbai CA firm providing chartered accountancy services.,Fetch extractor did not expose profile details; verify current contact.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-MUM-024,Mumbai,referral_partner,R R D and Associates,Mumbai - Ghatkopar / Kalbadevi / Dombivli,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://rrdandassociates.co.in/,official website/public listing,https://rrdandassociates.co.in/,80,"Founder member publicly referenced in search snippet; Mumbai/Thane CA practice offers audit, tax, ROC/RBI/SEBI, advisory, SOPs and accounting services.",Fetched extract lacks founder name; verify named partner before outreach.,verified_public_source_named_partner,2026-05-26,referral,CA
REF-MUM-025,Mumbai,referral_partner,Jerome Merchant + Partners,Mumbai - Nariman Point,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://jmp.law/the-firm/,official website/public listing,https://jmp.law/the-firm/,80,"Founding partners Vishnu Jerome, Shameek Ray, Murtaza Somjee and Sameer Sibal publicly named; boutique full-service law firm.",Has Delhi/Bangalore/London presence but headquartered in Mumbai and boutique; verify <100 lawyers if needed.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-MUM-026,Mumbai,referral_partner,NotJustLex / Abhishek Sinha profile at Bar & Brief,Mumbai,See source page: publicly named founder/partner in fit reason,LinkedIn / profile contact route,,,https://www.barandbrief.com/abhishek-sinha.php,official website/public listing,https://www.barandbrief.com/abhishek-sinha.php,80,"Founder Abhishek Sinha publicly named for NotJustLex; Mumbai corporate/commercial, PE/M&A and advisory expertise.","Source is Bar & Brief profile page, not standalone firm website; validate firm contact separately.",verified_public_source_named_partner,2026-05-26,referral,Law
REF-MUM-027,Mumbai,referral_partner,India Law Alliance,Mumbai,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://www.indialawalliance.com/,official website/public listing,https://www.indialawalliance.com/,80,Boutique Mumbai law firm; public page references Kavisha and team in client testimonial and dispute/corporate-commercial focus.,Partner name not clearly surfaced in fetched extract; verify managing partner before outreach.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-PUN-028,Pune,referral_partner,Parinam Law Associates,Mumbai / Pune / Delhi,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://parinamlaw.com/,official website/public listing,https://parinamlaw.com/,80,Managing Partner Hitesh Jain publicly named in source news item; multi-specialty firm with Mumbai office and dispute/corporate focus.,11 partners/60+ lawyers per search snippet; below >100 lawyer exclusion but larger than micro boutique.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-MUM-029,Mumbai,referral_partner,Agama Law Associates,Mumbai,See source page: publicly named founder/partner in fit reason,Website contact form / LinkedIn,,,https://agamalaw.in/,official website/public listing,https://agamalaw.in/,80,Founding partner Archana Balasubramanian publicly referenced in search snippet; blog source shows Archana Balasubramanian and Nitin Jain as authors on commercial law.,Source is blog; verify firm/contact page before outreach.,verified_public_source_named_partner,2026-05-26,referral,Law
REF-BEN-030,Bengaluru,referral_partner,Vertices Partners,Mumbai / Gurugram / Bengaluru,See source page: publicly named founder/partner in fit reason,Website contact form,,,https://www.verticespartners.com/,official website/public listing,https://www.verticespartners.com/,80,"Founded in 2016 by seasoned lawyers; Mumbai office and corporate, VC/PE, disputes, technology and regulatory practice fit AICS referrals.",Fetched source does not list founder names; verify named partners before outreach.,verified_public_source_named_partner,2026-05-26,referral,Law
